id,truong_vao,truong_ra,mo_ta,nguon
MAP001,nam_duong,nam_am,Đổi năm dương lịch sang năm âm lịch,Can Chi Calendar
MAP002,thang_duong,thang_am,Đổi tháng dương sang tháng âm,Lịch âm
MAP003,ngay_duong,ngay_am,Đổi ngày dương sang ngày âm,Lịch âm
MAP004,gio_duong,gio_can_chi,Xác định giờ Can Chi,Giờ Can Chi
MAP005,nam_am,nam_can_chi,Xác định Thiên Can Địa Chi năm,Nạp âm
MAP006,thang_am,thang_can_chi,Xác định Can Chi tháng,Tử Bình
MAP007,ngay_am,ngay_can_chi,Xác định Nhật Trụ,Ngày Can Chi
MAP008,gio_am,gio_can_chi,Xác định Thời Trụ,Tử Bình
MAP009,can_chi_nam,nap_am,Xác định Nạp Âm năm,60 Hoa Giáp
MAP010,can_chi_ngay,nhat_chu,Xác định Nhật Chủ,Nhật Can
MAP011,nhat_chu,thap_than,Xác định Thập Thần,Tử Bình
MAP012,ngay_am,tiet_khi,Xác định tiết khí,Mặt trời
MAP013,tiet_khi,mua,Xác định mùa khí hậu,Ngũ hành
MAP014,tiet_khi,thang_lenh,Xác định nguyệt lệnh,Tử Bình
MAP015,can_chi_ngay,truc_ngay,Xác định 12 Trực,Hoàng lịch
MAP016,can_chi_ngay,thap_nhi_than,Xác định 12 thần Hoàng đạo,Hoàng lịch
MAP017,ngay_am,ngay_tot_xau,Đánh giá cát hung ngày,Rule
MAP018,dia_chi_ngay,xung_hop,Xác định xung hợp ngày,Địa chi
MAP019,dia_chi_ngay,tam_hop,Xác định tam hợp,Địa chi
MAP020,dia_chi_ngay,luc_hop,Xác định lục hợp,Địa chi
MAP021,can_chi_gio,gio_tot_xau,Đánh giá giờ tốt xấu,Rule
MAP022,tat_ca_du_lieu,bao_cao,Đóng gói kết quả lịch,Engine
