step_id,buoc,hanh_dong,ket_qua
01,Nhận đầu vào,Nhận ngày giờ dương lịch,Input chuẩn
02,Chuẩn hóa múi giờ,Đưa về timezone Việt Nam,Gio chuẩn
03,Tính Julian Day,Chuyển ngày sang số thiên văn,JDN
04,Đổi lịch dương âm,Tính ngày tháng năm âm,Lịch âm
05,Tính Can Chi năm,Lấy năm âm Can Chi,Năm trụ
06,Tính tháng âm,Xác định tháng âm,Tháng âm
07,Tính tiết khí,Tính vị trí mặt trời,Tiết khí
08,Xác định tháng lệnh,Gắn khí tháng,Nguyệt lệnh
09,Tính Nhật Trụ,Xác định ngày Can Chi,Nhật trụ
10,Tính Thời Trụ,Xác định giờ Can Chi,Thời trụ
11,Tính Nạp Âm,Tra bảng 60 Hoa Giáp,Nạp âm
12,Tính Thập Thần,Xác định quan hệ Nhật Chủ,Thập thần
13,Tính Trực ngày,Xác định 12 trực,Trực
14,Tính Hoàng Đạo,Xác định cát thần,Thần ngày
15,Tổng hợp kết quả,Xuất dữ liệu ngày hoàn chỉnh
