mapping_id,mapping_type,input_key,input_value,output_key,output_value,start_condition,end_condition,priority,status,note
MAP001,THANG_BAT_TU,TIET_KHI,LapXuan,MONTH_BRANCH,Dan,LapXuan,KinhTrap,100,ACTIVE,Tháng Dần bắt đầu từ Lập Xuân
MAP002,THANG_BAT_TU,TIET_KHI,KinhTrap,MONTH_BRANCH,Mao,KinhTrap,ThanhMinh,100,ACTIVE,Tháng Mão bắt đầu từ Kinh Trập
MAP003,THANG_BAT_TU,TIET_KHI,ThanhMinh,MONTH_BRANCH,Thin,ThanhMinh,LapHa,100,ACTIVE,Tháng Thìn bắt đầu từ Thanh Minh
MAP004,THANG_BAT_TU,TIET_KHI,LapHa,MONTH_BRANCH,Ty,LapHa,MangChung,100,ACTIVE,Tháng Tỵ bắt đầu từ Lập Hạ
MAP005,THANG_BAT_TU,TIET_KHI,MangChung,MONTH_BRANCH,Ngo,MangChung,TieuThu,100,ACTIVE,Tháng Ngọ bắt đầu từ Mang Chủng
MAP006,THANG_BAT_TU,TIET_KHI,TieuThu,MONTH_BRANCH,Mui,TieuThu,LapThu,100,ACTIVE,Tháng Mùi bắt đầu từ Tiểu Thử
MAP007,THANG_BAT_TU,TIET_KHI,LapThu,MONTH_BRANCH,Than,LapThu,BachLo,100,ACTIVE,Tháng Thân bắt đầu từ Lập Thu
MAP008,THANG_BAT_TU,TIET_KHI,BachLo,MONTH_BRANCH,Dau,BachLo,HanLo,100,ACTIVE,Tháng Dậu bắt đầu từ Bạch Lộ
MAP009,THANG_BAT_TU,TIET_KHI,HanLo,MONTH_BRANCH,Tuat,HanLo,LapDong,100,ACTIVE,Tháng Tuất bắt đầu từ Hàn Lộ
MAP010,THANG_BAT_TU,TIET_KHI,LapDong,MONTH_BRANCH,Hoi,LapDong,DaiTuyet,100,ACTIVE,Tháng Hợi bắt đầu từ Lập Đông
MAP011,THANG_BAT_TU,TIET_KHI,DaiTuyet,MONTH_BRANCH,Ty,DaiTuyet,TieuHan,100,ACTIVE,Tháng Tý bắt đầu từ Đại Tuyết
MAP012,THANG_BAT_TU,TIET_KHI,TieuHan,MONTH_BRANCH,Suu,TieuHan,LapXuan,100,ACTIVE,Tháng Sửu bắt đầu từ Tiểu Hàn

MAP013,GIO_CHI,TIME_RANGE,23:00-00:59,HOUR_BRANCH,Ty,,,90,ACTIVE,Giờ Tý
MAP014,GIO_CHI,TIME_RANGE,01:00-02:59,HOUR_BRANCH,Suu,,,90,ACTIVE,Giờ Sửu
MAP015,GIO_CHI,TIME_RANGE,03:00-04:59,HOUR_BRANCH,Dan,,,90,ACTIVE,Giờ Dần
MAP016,GIO_CHI,TIME_RANGE,05:00-06:59,HOUR_BRANCH,Mao,,,90,ACTIVE,Giờ Mão
MAP017,GIO_CHI,TIME_RANGE,07:00-08:59,HOUR_BRANCH,Thin,,,90,ACTIVE,Giờ Thìn
MAP018,GIO_CHI,TIME_RANGE,09:00-10:59,HOUR_BRANCH,Ty2,,,90,ACTIVE,Giờ Tỵ
MAP019,GIO_CHI,TIME_RANGE,11:00-12:59,HOUR_BRANCH,Ngo,,,90,ACTIVE,Giờ Ngọ
MAP020,GIO_CHI,TIME_RANGE,13:00-14:59,HOUR_BRANCH,Mui,,,90,ACTIVE,Giờ Mùi
MAP021,GIO_CHI,TIME_RANGE,15:00-16:59,HOUR_BRANCH,Than,,,90,ACTIVE,Giờ Thân
MAP022,GIO_CHI,TIME_RANGE,17:00-18:59,HOUR_BRANCH,Dau,,,90,ACTIVE,Giờ Dậu
MAP023,GIO_CHI,TIME_RANGE,19:00-20:59,HOUR_BRANCH,Tuat,,,90,ACTIVE,Giờ Tuất
MAP024,GIO_CHI,TIME_RANGE,21:00-22:59,HOUR_BRANCH,Hoi,,,90,ACTIVE,Giờ Hợi

MAP025,NAM_CHUYEN_DOI,TIET_KHI,LapXuan,YEAR_BOUNDARY,NEW_YEAR,,,100,ACTIVE,Năm Bát Tự đổi tại Lập Xuân
MAP026,THANG_XAC_DINH,RULE,TheoTietKhi,MONTH_SOURCE,BAT_TU_MONTH,,,100,ACTIVE,Tháng Bát Tự xác định theo tiết khí
MAP027,NGAY_CAN_CHI,RULE,JDN,DAY_GANZHI,LOOKUP_TABLE,,,100,ACTIVE,Can Chi ngày tra theo Julian Day Number
MAP028,GIO_CAN_CHI,RULE,DAY_STEM+HOUR_BRANCH,HOUR_GANZHI,LOOKUP_TABLE,,,100,ACTIVE,Can Chi giờ tính từ Can ngày và Chi giờ
MAP029,AM_DUONG,RULE,SOLAR_TO_LUNAR,LUNAR_DATE,LOOKUP_TABLE,,,100,ACTIVE,Chuyển đổi Dương lịch sang Âm lịch
MAP030,DU_LIEU,RULE,MASTER_CALENDAR,CALENDAR_RECORD,LOOKUP_TABLE,,,100,ACTIVE,Tra cứu dữ liệu lịch tổng hợp
