mapping_id,day_stem,hour_branch,hour_index,hour_stem,hour_ganzhi,status,note
CG001,Giap,Ty,1,Giap,GiapTy,ACTIVE,Giáp nhật
CG002,Giap,Suu,2,At,AtSuu,ACTIVE,
CG003,Giap,Dan,3,Binh,BinhDan,ACTIVE,
CG004,Giap,Mao,4,Dinh,DinhMao,ACTIVE,
CG005,Giap,Thin,5,Mau,MauThin,ACTIVE,
CG006,Giap,Ty,6,Ky,KyTy,ACTIVE,
CG007,Giap,Ngo,7,Canh,CanhNgo,ACTIVE,
CG008,Giap,Mui,8,Tan,TanMui,ACTIVE,
CG009,Giap,Than,9,Nham,NhamThan,ACTIVE,
CG010,Giap,Dau,10,Quy,QuyDau,ACTIVE,
CG011,Giap,Tuat,11,Giap,GiapTuat,ACTIVE,
CG012,Giap,Hoi,12,At,AtHoi,ACTIVE,

CG013,Ky,Ty,1,Giap,GiapTy,ACTIVE,Kỷ nhật
CG014,Ky,Suu,2,At,AtSuu,ACTIVE,
CG015,Ky,Dan,3,Binh,BinhDan,ACTIVE,
CG016,Ky,Mao,4,Dinh,DinhMao,ACTIVE,
CG017,Ky,Thin,5,Mau,MauThin,ACTIVE,
CG018,Ky,Ty,6,Ky,KyTy,ACTIVE,
CG019,Ky,Ngo,7,Canh,CanhNgo,ACTIVE,
CG020,Ky,Mui,8,Tan,TanMui,ACTIVE,
CG021,Ky,Than,9,Nham,NhamThan,ACTIVE,
CG022,Ky,Dau,10,Quy,QuyDau,ACTIVE,
CG023,Ky,Tuat,11,Giap,GiapTuat,ACTIVE,
CG024,Ky,Hoi,12,At,AtHoi,ACTIVE,

CG025,At,Ty,1,Binh,BinhTy,ACTIVE,Ất nhật
CG026,At,Suu,2,Dinh,DinhSuu,ACTIVE,
CG027,At,Dan,3,Mau,MauDan,ACTIVE,
CG028,At,Mao,4,Ky,KyMao,ACTIVE,
CG029,At,Thin,5,Canh,CanhThin,ACTIVE,
CG030,At,Ty,6,Tan,TanTy,ACTIVE,
CG031,At,Ngo,7,Nham,NhamNgo,ACTIVE,
CG032,At,Mui,8,Quy,QuyMui,ACTIVE,
CG033,At,Than,9,Giap,GiapThan,ACTIVE,
CG034,At,Dau,10,At,AtDau,ACTIVE,
CG035,At,Tuat,11,Binh,BinhTuat,ACTIVE,
CG036,At,Hoi,12,Dinh,DinhHoi,ACTIVE,

CG037,Canh,Ty,1,Binh,BinhTy,ACTIVE,Canh nhật
CG038,Canh,Suu,2,Dinh,DinhSuu,ACTIVE,
CG039,Canh,Dan,3,Mau,MauDan,ACTIVE,
CG040,Canh,Mao,4,Ky,KyMao,ACTIVE,
CG041,Canh,Thin,5,Canh,CanhThin,ACTIVE,
CG042,Canh,Ty,6,Tan,TanTy,ACTIVE,
CG043,Canh,Ngo,7,Nham,NhamNgo,ACTIVE,
CG044,Canh,Mui,8,Quy,QuyMui,ACTIVE,
CG045,Canh,Than,9,Giap,GiapThan,ACTIVE,
CG046,Canh,Dau,10,At,AtDau,ACTIVE,
CG047,Canh,Tuat,11,Binh,BinhTuat,ACTIVE,
CG048,Canh,Hoi,12,Dinh,DinhHoi,ACTIVE,

CG049,Binh,Ty,1,Mau,MauTy,ACTIVE,Bính nhật
CG050,Binh,Suu,2,Ky,KySuu,ACTIVE,
CG051,Binh,Dan,3,Canh,CanhDan,ACTIVE,
CG052,Binh,Mao,4,Tan,TanMao,ACTIVE,
CG053,Binh,Thin,5,Nham,NhamThin,ACTIVE,
CG054,Binh,Ty,6,Quy,QuyTy,ACTIVE,
CG055,Binh,Ngo,7,Giap,GiapNgo,ACTIVE,
CG056,Binh,Mui,8,At,AtMui,ACTIVE,
CG057,Binh,Than,9,Binh,BinhThan,ACTIVE,
CG058,Binh,Dau,10,Dinh,DinhDau,ACTIVE,
CG059,Binh,Tuat,11,Mau,MauTuat,ACTIVE,
CG060,Binh,Hoi,12,Ky,KyHoi,ACTIVE,

CG061,Tan,Ty,1,Mau,MauTy,ACTIVE,Tân nhật
CG062,Tan,Suu,2,Ky,KySuu,ACTIVE,
CG063,Tan,Dan,3,Canh,CanhDan,ACTIVE,
CG064,Tan,Mao,4,Tan,TanMao,ACTIVE,
CG065,Tan,Thin,5,Nham,NhamThin,ACTIVE,
CG066,Tan,Ty,6,Quy,QuyTy,ACTIVE,
CG067,Tan,Ngo,7,Giap,GiapNgo,ACTIVE,
CG068,Tan,Mui,8,At,AtMui,ACTIVE,
CG069,Tan,Than,9,Binh,BinhThan,ACTIVE,
CG070,Tan,Dau,10,Dinh,DinhDau,ACTIVE,
CG071,Tan,Tuat,11,Mau,MauTuat,ACTIVE,
CG072,Tan,Hoi,12,Ky,KyHoi,ACTIVE,

CG073,Dinh,Ty,1,Canh,CanhTy,ACTIVE,Đinh nhật
CG074,Dinh,Suu,2,Tan,TanSuu,ACTIVE,
CG075,Dinh,Dan,3,Nham,NhamDan,ACTIVE,
CG076,Dinh,Mao,4,Quy,QuyMao,ACTIVE,
CG077,Dinh,Thin,5,Giap,GiapThin,ACTIVE,
CG078,Dinh,Ty,6,At,AtTy,ACTIVE,
CG079,Dinh,Ngo,7,Binh,BinhNgo,ACTIVE,
CG080,Dinh,Mui,8,Dinh,DinhMui,ACTIVE,
CG081,Dinh,Than,9,Mau,MauThan,ACTIVE,
CG082,Dinh,Dau,10,Ky,KyDau,ACTIVE,
CG083,Dinh,Tuat,11,Canh,CanhTuat,ACTIVE,
CG084,Dinh,Hoi,12,Tan,TanHoi,ACTIVE,

CG085,Nham,Ty,1,Canh,CanhTy,ACTIVE,Nhâm nhật
CG086,Nham,Suu,2,Tan,TanSuu,ACTIVE,
CG087,Nham,Dan,3,Nham,NhamDan,ACTIVE,
CG088,Nham,Mao,4,Quy,QuyMao,ACTIVE,
CG089,Nham,Thin,5,Giap,GiapThin,ACTIVE,
CG090,Nham,Ty,6,At,AtTy,ACTIVE,
CG091,Nham,Ngo,7,Binh,BinhNgo,ACTIVE,
CG092,Nham,Mui,8,Dinh,DinhMui,ACTIVE,
CG093,Nham,Than,9,Mau,MauThan,ACTIVE,
CG094,Nham,Dau,10,Ky,KyDau,ACTIVE,
CG095,Nham,Tuat,11,Canh,CanhTuat,ACTIVE,
CG096,Nham,Hoi,12,Tan,TanHoi,ACTIVE,

CG097,Mau,Ty,1,Nham,NhamTy,ACTIVE,Mậu nhật
CG098,Mau,Suu,2,Quy,QuySuu,ACTIVE,
CG099,Mau,Dan,3,Giap,GiapDan,ACTIVE,
CG100,Mau,Mao,4,At,AtMao,ACTIVE,
CG101,Mau,Thin,5,Binh,BinhThin,ACTIVE,
CG102,Mau,Ty,6,Dinh,DinhTy,ACTIVE,
CG103,Mau,Ngo,7,Mau,MauNgo,ACTIVE,
CG104,Mau,Mui,8,Ky,KyMui,ACTIVE,
CG105,Mau,Than,9,Canh,CanhThan,ACTIVE,
CG106,Mau,Dau,10,Tan,TanDau,ACTIVE,
CG107,Mau,Tuat,11,Nham,NhamTuat,ACTIVE,
CG108,Mau,Hoi,12,Quy,QuyHoi,ACTIVE,

CG109,Quy,Ty,1,Nham,NhamTy,ACTIVE,Quý nhật
CG110,Quy,Suu,2,Quy,QuySuu,ACTIVE,
CG111,Quy,Dan,3,Giap,GiapDan,ACTIVE,
CG112,Quy,Mao,4,At,AtMao,ACTIVE,
CG113,Quy,Thin,5,Binh,BinhThin,ACTIVE,
CG114,Quy,Ty,6,Dinh,DinhTy,ACTIVE,
