ma_dia_chi,ten,ten_han,ngu_hanh,am_duong,phuong_vi,mua,thang_am_lich,gio_bat_dau,gio_ket_thuc,con_giap,ghi_chu,thu_tu
DC01,Ty,子,Thuy,Duong,Bac,Dong,11,23:00,00:59,Chuot,Dia Chi thu nhat,1
DC02,Suu,丑,Tho,Am,Dong Bac,Dong,12,01:00,02:59,Trau,Dia Chi thu hai,2
DC03,Dan,寅,Moc,Duong,Dong Bac,Xuan,1,03:00,04:59,Ho,Dia Chi thu ba,3
DC04,Mao,卯,Moc,Am,Dong,Xuan,2,05:00,06:59,Meo,Dia Chi thu tu,4
DC05,Thin,辰,Tho,Duong,Dong Nam,Xuan,3,07:00,08:59,Rong,Dia Chi thu nam,5
DC06,Ty_,巳,Hoa,Am,Dong Nam,Ha,4,09:00,10:59,Ran,Dia Chi thu sau,6
DC07,Ngo,午,Hoa,Duong,Nam,Ha,5,11:00,12:59,Ngua,Dia Chi thu bay,7
DC08,Mui,未,Tho,Am,Tay Nam,Ha,6,13:00,14:59,De,Dia Chi thu tam,8
DC09,Than,申,Kim,Duong,Tay Nam,Thu,7,15:00,16:59,Khi,Dia Chi thu chin,9
DC10,Dau,酉,Kim,Am,Tay,Thu,8,17:00,18:59,Ga,Dia Chi thu muoi,10
DC11,Tuat,戌,Tho,Duong,Tay Bac,Thu,9,19:00,20:59,Cho,Dia Chi thu muoi mot,11
DC12,Hoi,亥,Thuy,Am,Tay Bac,Dong,10,21:00,22:59,Lon,Dia Chi thu muoi hai,12
