rule_id,nhom_rule,uu_tien,dieu_kien,ket_qua,ghi_chu
ADR001,NAM_CAN_CHI,100,Ngay<LapXuan,DungCanChiNamTruoc,Năm Bát Tự chưa đổi trước Lập Xuân
ADR002,NAM_CAN_CHI,100,Ngay>=LapXuan,DungCanChiNamMoi,Năm Bát Tự đổi sau Lập Xuân

ADR003,THANG_BAT_TU,100,TheoTietKhi,DungThangTheoTietKhi,Không dùng tháng âm lịch dân gian
ADR004,THANG_BAT_TU,95,TietLapXuan,ThangDan,Tháng Dần bắt đầu từ Lập Xuân
ADR005,THANG_BAT_TU,95,TietKinhTrap,ThangMao,Tháng Mão bắt đầu từ Kinh Trập
ADR006,THANG_BAT_TU,95,TietThanhMinh,ThangThin,Tháng Thìn bắt đầu từ Thanh Minh
ADR007,THANG_BAT_TU,95,TietLapHa,ThangTy,Tháng Tỵ bắt đầu từ Lập Hạ
ADR008,THANG_BAT_TU,95,TietMangChung,ThangNgo,Tháng Ngọ bắt đầu từ Mang Chủng
ADR009,THANG_BAT_TU,95,TietTieuThu,ThangMui,Tháng Mùi bắt đầu từ Tiểu Thử
ADR010,THANG_BAT_TU,95,TietLapThu,ThangThan,Tháng Thân bắt đầu từ Lập Thu
ADR011,THANG_BAT_TU,95,TietBachLo,ThangDau,Tháng Dậu bắt đầu từ Bạch Lộ
ADR012,THANG_BAT_TU,95,TietHanLo,ThangTuat,Tháng Tuất bắt đầu từ Hàn Lộ
ADR013,THANG_BAT_TU,95,TietLapDong,ThangHoi,Tháng Hợi bắt đầu từ Lập Đông
ADR014,THANG_BAT_TU,95,TietDaiTuyet,ThangTy2,Tháng Tý bắt đầu từ Đại Tuyết
ADR015,THANG_BAT_TU,95,TietTieuHan,ThangSuu,Tháng Sửu bắt đầu từ Tiểu Hàn

ADR016,GIO_CAN_CHI,90,Gio23_0059,GioTy,23:00-00:59
ADR017,GIO_CAN_CHI,90,Gio0100_0259,GioSuu,01:00-02:59
ADR018,GIO_CAN_CHI,90,Gio0300_0459,GioDan,03:00-04:59
ADR019,GIO_CAN_CHI,90,Gio0500_0659,GioMao,05:00-06:59
ADR020,GIO_CAN_CHI,90,Gio0700_0859,GioThin,07:00-08:59
ADR021,GIO_CAN_CHI,90,Gio0900_1059,GioTy2,09:00-10:59
ADR022,GIO_CAN_CHI,90,Gio1100_1259,GioNgo,11:00-12:59
ADR023,GIO_CAN_CHI,90,Gio1300_1459,GioMui,13:00-14:59
ADR024,GIO_CAN_CHI,90,Gio1500_1659,GioThan,15:00-16:59
ADR025,GIO_CAN_CHI,90,Gio1700_1859,GioDau,17:00-18:59
ADR026,GIO_CAN_CHI,90,Gio1900_2059,GioTuat,19:00-20:59
ADR027,GIO_CAN_CHI,90,Gio2100_2259,GioHoi,21:00-22:59

ADR028,DU_LIEU,80,NgayHopLe=true,TiepTuc,Dữ liệu hợp lệ
ADR029,DU_LIEU,80,NgayHopLe=false,BaoLoi,Ngày không hợp lệ
ADR030,DU_LIEU,80,TietKhiTonTai=true,TiepTuc,Có dữ liệu tiết khí
ADR031,DU_LIEU,80,TietKhiTonTai=false,BaoLoi,Thiếu dữ liệu tiết khí
ADR032,DU_LIEU,80,GioHopLe=true,TiepTuc,Giờ hợp lệ
ADR033,DU_LIEU,80,GioHopLe=false,BaoLoi,Giờ không hợp lệ
ADR034,DU_LIEU,80,NgayTrongPhamVi=true,TiepTuc,Nằm trong phạm vi dữ liệu
ADR035,DU_LIEU,80,NgayTrongPhamVi=false,BaoLoi,Ngoài phạm vi dữ liệu

ADR036,OUTPUT,70,KhongLoi=true,SinhDuLieu,Tạo bản ghi lịch
ADR037,OUTPUT,70,CoLoi=true,DungXuLy,Dừng xử lý
ADR038,OUTPUT,70,DuCanChi=true,SanSangLapTuTru,Sẵn sàng lập Tứ Trụ
ADR039,OUTPUT,70,DuTietKhi=true,SanSangTinhDaiVan,Sẵn sàng tính Đại vận
ADR040,OUTPUT,70,DuToanBo=true,MasterCalendarHoanChinh,Sinh dữ liệu chuẩn
