mapping_id,day_stem,hour_branch,hour_index,hour_stem,hour_ganzhi,status,note
CG001,Giap,Ty,1,Giap,GiapTy,ACTIVE,Giáp nhật
CG002,Giap,Suu,2,At,AtSuu,ACTIVE,
CG003,Giap,Dan,3,Binh,BinhDan,ACTIVE,
CG004,Giap,Mao,4,Dinh,DinhMao,ACTIVE,
CG005,Giap,Thin,5,Mau,MauThin,ACTIVE,
CG006,Giap,Ty,6,Ky,KyTy,ACTIVE,
CG007,Giap,Ngo,7,Canh,CanhNgo,ACTIVE,
CG008,Giap,Mui,8,Tan,TanMui,ACTIVE,
CG009,Giap,Than,9,Nham,NhamThan,ACTIVE,
CG010,Giap,Dau,10,Quy,QuyDau,ACTIVE,
CG011,Giap,Tuat,11,Giap,GiapTuat,ACTIVE,
CG012,Giap,Hoi,12,At,AtHoi,ACTIVE,

CG013,Ky,Ty,1,Giap,GiapTy,ACTIVE,Kỷ nhật
CG014,Ky,Suu,2,At,AtSuu,ACTIVE,
CG015,Ky,Dan,3,Binh,BinhDan,ACTIVE,
CG016,Ky,Mao,4,Dinh,DinhMao,ACTIVE,
CG017,Ky,Thin,5,Mau,MauThin,ACTIVE,
CG018,Ky,Ty,6,Ky,KyTy,ACTIVE,
CG019,Ky,Ngo,7,Canh,CanhNgo,ACTIVE,
CG020,Ky,Mui,8,Tan,TanMui,ACTIVE,
CG021,Ky,Than,9,Nham,NhamThan,ACTIVE,
CG022,Ky,Dau,10,Quy,QuyDau,ACTIVE,
CG023,Ky,Tuat,11,Giap,GiapTuat,ACTIVE,
CG024,Ky,Hoi,12,At,AtHoi,ACTIVE,
