mapping_id,jdn_mod60,thu_tu_hoa_giap,can,chi,can_chi,tuan_giap,khong_vong,can_index,chi_index,trang_thai,ghi_chu
JDN001,0,1,Giáp,Tý,Giáp Tý,Giáp Tý,Tuất-Hợi,1,1,ACTIVE,Khởi đầu chu kỳ
JDN002,1,2,Ất,Sửu,Ất Sửu,Giáp Tý,Tuất-Hợi,2,2,ACTIVE,
JDN003,2,3,Bính,Dần,Bính Dần,Giáp Tý,Tuất-Hợi,3,3,ACTIVE,
JDN004,3,4,Đinh,Mão,Đinh Mão,Giáp Tý,Tuất-Hợi,4,4,ACTIVE,
JDN005,4,5,Mậu,Thìn,Mậu Thìn,Giáp Tý,Tuất-Hợi,5,5,ACTIVE,
JDN006,5,6,Kỷ,Tỵ,Kỷ Tỵ,Giáp Tý,Tuất-Hợi,6,6,ACTIVE,
JDN007,6,7,Canh,Ngọ,Canh Ngọ,Giáp Tý,Tuất-Hợi,7,7,ACTIVE,
JDN008,7,8,Tân,Mùi,Tân Mùi,Giáp Tý,Tuất-Hợi,8,8,ACTIVE,
JDN009,8,9,Nhâm,Thân,Nhâm Thân,Giáp Tý,Tuất-Hợi,9,9,ACTIVE,
JDN010,9,10,Quý,Dậu,Quý Dậu,Giáp Tý,Tuất-Hợi,10,10,ACTIVE,

JDN011,10,11,Giáp,Tuất,Giáp Tuất,Giáp Tuất,Thân-Dậu,1,11,ACTIVE,Bắt đầu Tuần Giáp Tuất
JDN012,11,12,Ất,Hợi,Ất Hợi,Giáp Tuất,Thân-Dậu,2,12,ACTIVE,
JDN013,12,13,Bính,Tý,Bính Tý,Giáp Tuất,Thân-Dậu,3,1,ACTIVE,
JDN014,13,14,Đinh,Sửu,Đinh Sửu,Giáp Tuất,Thân-Dậu,4,2,ACTIVE,
JDN015,14,15,Mậu,Dần,Mậu Dần,Giáp Tuất,Thân-Dậu,5,3,ACTIVE,
JDN016,15,16,Kỷ,Mão,Kỷ Mão,Giáp Tuất,Thân-Dậu,6,4,ACTIVE,
JDN017,16,17,Canh,Thìn,Canh Thìn,Giáp Tuất,Thân-Dậu,7,5,ACTIVE,
JDN018,17,18,Tân,Tỵ,Tân Tỵ,Giáp Tuất,Thân-Dậu,8,6,ACTIVE,
JDN019,18,19,Nhâm,Ngọ,Nhâm Ngọ,Giáp Tuất,Thân-Dậu,9,7,ACTIVE,
JDN020,19,20,Quý,Mùi,Quý Mùi,Giáp Tuất,Thân-Dậu,10,8,ACTIVE,
