ma_nap_am,ten,ten_han,ngu_hanh,thu_tu
NA01,Hai Trung Kim,海中金,Kim,1
NA02,Lo Trung Hoa,爐中火,Hoa,2
NA03,Dai Lam Moc,大林木,Moc,3
NA04,Lo Bang Tho,路旁土,Tho,4
NA05,Kiem Phong Kim,劍鋒金,Kim,5
NA06,Son Dau Hoa,山頭火,Hoa,6
NA07,Gian Ha Thuy,澗下水,Thuy,7
NA08,Thanh Dau Tho,城頭土,Tho,8
NA09,Bach Lap Kim,白蠟金,Kim,9
NA10,Duong Lieu Moc,楊柳木,Moc,10
NA11,Tuyen Trung Thuy,泉中水,Thuy,11
NA12,Oc Thuong Tho,屋上土,Tho,12
NA13,Thich Lich Hoa,霹靂火,Hoa,13
NA14,Tung Bach Moc,松柏木,Moc,14
NA15,Truong Luu Thuy,長流水,Thuy,15
NA16,Sa Trung Kim,沙中金,Kim,16
NA17,Son Ha Hoa,山下火,Hoa,17
NA18,Binh Dia Moc,平地木,Moc,18
NA19,Bich Thuong Tho,壁上土,Tho,19
NA20,Kim Bach Kim,金箔金,Kim,20
NA21,Phuc Dang Hoa,覆燈火,Hoa,21
NA22,Thien Ha Thuy,天河水,Thuy,22
NA23,Dai Trach Tho,大驛土,Tho,23
NA24,Thoa Xuyen Kim,釵釧金,Kim,24
NA25,Tang Do Moc,桑柘木,Moc,25
NA26,Dai Khe Thuy,大溪水,Thuy,26
NA27,Sa Trung Tho,沙中土,Tho,27
NA28,Thien Thuong Hoa,天上火,Hoa,28
NA29,Thach Luu Moc,石榴木,Moc,29
NA30,Dai Hai Thuy,大海水,Thuy,30
