ma_tang_can,ma_dia_chi,ma_thien_can,thu_tu,ti_le
TGC001,DC01,TC09,1,100
TGC002,DC02,TC06,1,60
TGC003,DC02,TC10,2,30
TGC004,DC02,TC08,3,10
TGC005,DC03,TC01,1,60
TGC006,DC03,TC03,2,30
TGC007,DC03,TC05,3,10
TGC008,DC04,TC02,1,100
TGC009,DC05,TC05,1,60
TGC010,DC05,TC02,2,30
TGC011,DC05,TC10,3,10
TGC012,DC06,TC03,1,60
TGC013,DC06,TC05,2,30
TGC014,DC06,TC07,3,10
TGC015,DC07,TC04,1,70
TGC016,DC07,TC06,2,30
TGC017,DC08,TC06,1,60
TGC018,DC08,TC04,2,30
TGC019,DC08,TC02,3,10
TGC020,DC09,TC07,1,60
TGC021,DC09,TC09,2,30
TGC022,DC09,TC05,3,10
TGC023,DC10,TC08,1,100
TGC024,DC11,TC05,1,60
TGC025,DC11,TC08,2,30
TGC026,DC11,TC04,3,10
TGC027,DC12,TC09,1,70
TGC028,DC12,TC01,2,30
