id,ma_quan_he,ten,thien_can,dia_chi,am_duong,ngu_hanh_nap_am,mo_ta
HG001,HGI001,Giáp Tý,Giáp,Tý,Dương,Hải Trung Kim,Kim trong biển
HG002,HGI002,Ất Sửu,Ất,Sửu,Âm,Hải Trung Kim,Kim trong biển
HG003,HGI003,Bính Dần,Bính,Dần,Dương,Lư Trung Hỏa,Lửa trong lò
HG004,HGI004,Đinh Mão,Đinh,Mão,Âm,Lư Trung Hỏa,Lửa trong lò
HG005,HGI005,Mậu Thìn,Mậu,Thìn,Dương,Đại Lâm Mộc,Gỗ rừng lớn
HG006,HGI006,Kỷ Tỵ,Kỷ,Tỵ,Âm,Đại Lâm Mộc,Gỗ rừng lớn
HG007,HGI007,Canh Ngọ,Canh,Ngọ,Dương,Lộ Bàng Thổ,Đất ven đường
HG008,HGI008,Tân Mùi,Tân,Mùi,Âm,Lộ Bàng Thổ,Đất ven đường
HG009,HGI009,Nhâm Thân,Nhâm,Thân,Dương,Kiếm Phong Kim,Kim mũi kiếm
HG010,HGI010,Quý Dậu,Quý,Dậu,Âm,Kiếm Phong Kim,Kim mũi kiếm
HG011,HGI011,Giáp Tuất,Giáp,Tuất,Dương,Sơn Đầu Hỏa,Lửa trên núi
HG012,HGI012,Ất Hợi,Ất,Hợi,Âm,Sơn Đầu Hỏa,Lửa trên núi
HG013,HGI013,Bính Tý,Bính,Tý,Dương,Giản Hạ Thủy,Nước khe suối
HG014,HGI014,Đinh Sửu,Đinh,Sửu,Âm,Giản Hạ Thủy,Nước khe suối
HG015,HGI015,Mậu Dần,Mậu,Dần,Dương,Thành Đầu Thổ,Đất thành trì
HG016,HGI016,Kỷ Mão,Kỷ,Mão,Âm,Thành Đầu Thổ,Đất thành trì
HG017,HGI017,Canh Thìn,Canh,Thìn,Dương,Bạch Lạp Kim,Kim trong nến
HG018,HGI018,Tân Tỵ,Tân,Tỵ,Âm,Bạch Lạp Kim,Kim trong nến
HG019,HGI019,Nhâm Ngọ,Nhâm,Ngọ,Dương,Dương Liễu Mộc,Gỗ cây liễu
