id,thu_tu,ten,ngu_hanh,can_chi_1,can_chi_2,mo_ta
NA001,1,Hải Trung Kim,Kim,Giáp Tý,Ất Sửu,Kim trong biển
NA002,2,Lư Trung Hỏa,Hỏa,Bính Dần,Đinh Mão,Lửa trong lò
NA003,3,Đại Lâm Mộc,Mộc,Mậu Thìn,Kỷ Tỵ,Cây lớn trong rừng
NA004,4,Lộ Bàng Thổ,Thổ,Canh Ngọ,Tân Mùi,Đất ven đường
NA005,5,Kiếm Phong Kim,Kim,Nhâm Thân,Quý Dậu,Kim đầu mũi kiếm
NA006,6,Sơn Đầu Hỏa,Hỏa,Giáp Tuất,Ất Hợi,Lửa trên núi
NA007,7,Giản Hạ Thủy,Thủy,Bính Tý,Đinh Sửu,Nước khe suối
NA008,8,Thành Đầu Thổ,Thổ,Mậu Dần,Kỷ Mão,Đất thành lũy
NA009,9,Bạch Lạp Kim,Kim,Canh Thìn,Tân Tỵ,Kim trong sáp trắng
NA010,10,Dương Liễu Mộc,Mộc,Nhâm Ngọ,Quý Mùi,Cây dương liễu
NA011,11,Tuyền Trung Thủy,Thủy,Giáp Thân,Ất Dậu,Nước trong suối
NA012,12,Ốc Thượng Thổ,Thổ,Bính Tuất,Đinh Hợi,Đất trên mái nhà
NA013,13,Tích Lịch Hỏa,Hỏa,Mậu Tý,Kỷ Sửu,Lửa sấm sét
NA014,14,Tùng Bách Mộc,Mộc,Canh Dần,Tân Mão,Cây tùng bách
NA015,15,Trường Lưu Thủy,Thủy,Nhâm Thìn,Quý Tỵ,Nước chảy dài
NA016,16,Sa Trung Kim,Kim,Giáp Ngọ,Ất Mùi,Kim trong cát
NA017,17,Sơn Hạ Hỏa,Hỏa,Bính Thân,Đinh Dậu,Lửa dưới núi
NA018,18,Bình Địa Mộc,Mộc,Mậu Tuất,Kỷ Hợi,Cây đồng bằng
NA019,19,Bích Thượng Thổ,Thổ,Canh Tý,Tân Sửu,Đất trên tường
NA020,20,Kim Bạch Kim,Kim,Nhâm Dần,Quý Mão,Kim pha bạc
NA021,21,Phúc Đăng Hỏa,Hỏa,Giáp Thìn,Ất Tỵ,Lửa đèn
NA022,22,Thiên Hà Thủy,Thủy,Bính Ngọ,Đinh Mùi,Nước trên trời
NA023,23,Đại Dịch Thổ,Thổ,Mậu Thân,Kỷ Dậu,Đất vùng rộng lớn
NA024,24,Xoa Xuyến Kim,Kim,Canh Tuất,Tân Hợi,Kim trang sức
NA025,25,Tang Đố Mộc,Mộc,Nhâm Tý,Quý Sửu,Cây dâu
NA026,26,Đại Khê Thủy,Thủy,Giáp Dần,Ất Mão,Nước khe lớn
NA027,27,Sa Trung Thổ,Thổ,Bính Thìn,Đinh Tỵ,Đất trong cát
NA028,28,Thiên Thượng Hỏa,Hỏa,Mậu Ngọ,Kỷ Mùi,Lửa trên trời
NA029,29,Thạch Lựu Mộc,Mộc,Canh Thân,Tân Dậu,Cây thạch lựu
NA030,30,Đại Hải Thủy,Thủy,Nhâm Tuất,Quý Hợi,Nước biển lớn
