id,dia_chi,thien_can,loai_tang,thu_tu,mo_ta
TGC001,Tý,Quý,Chính khí,1,"Tàng Can duy nhất của Tý."
TGC002,Sửu,Kỷ,Chính khí,1,"Chính khí của Sửu."
TGC003,Sửu,Quý,Trung khí,2,"Trung khí của Sửu."
TGC004,Sửu,Tân,Dư khí,3,"Dư khí của Sửu."
TGC005,Dần,Giáp,Chính khí,1,"Chính khí của Dần."
TGC006,Dần,Bính,Trung khí,2,"Trung khí của Dần."
TGC007,Dần,Mậu,Dư khí,3,"Dư khí của Dần."
TGC008,Mão,Ất,Chính khí,1,"Tàng Can duy nhất của Mão."
TGC009,Thìn,Mậu,Chính khí,1,"Chính khí của Thìn."
TGC010,Thìn,Ất,Trung khí,2,"Trung khí của Thìn."
TGC011,Thìn,Quý,Dư khí,3,"Dư khí của Thìn."
TGC012,Tỵ,Bính,Chính khí,1,"Chính khí của Tỵ."
TGC013,Tỵ,Mậu,Trung khí,2,"Trung khí của Tỵ."
TGC014,Tỵ,Canh,Dư khí,3,"Dư khí của Tỵ."
TGC015,Ngọ,Đinh,Chính khí,1,"Chính khí của Ngọ."
TGC016,Ngọ,Kỷ,Dư khí,2,"Dư khí của Ngọ."
TGC017,Mùi,Kỷ,Chính khí,1,"Chính khí của Mùi."
TGC018,Mùi,Đinh,Trung khí,2,"Trung khí của Mùi."
TGC019,Mùi,Ất,Dư khí,3,"Dư khí của Mùi."
TGC020,Thân,Canh,Chính khí,1,"Chính khí của Thân."
TGC021,Thân,Nhâm,Trung khí,2,"Trung khí của Thân."
TGC022,Thân,Mậu,Dư khí,3,"Dư khí của Thân."
TGC023,Dậu,Tân,Chính khí,1,"Tàng Can duy nhất của Dậu."
TGC024,Tuất,Mậu,Chính khí,1,"Chính khí của Tuất."
TGC025,Tuất,Tân,Trung khí,2,"Trung khí của Tuất."
TGC026,Tuất,Đinh,Dư khí,3,"Dư khí của Tuất."
TGC027,Hợi,Nhâm,Chính khí,1,"Chính khí của Hợi."
TGC028,Hợi,Giáp,Dư khí,2,"Dư khí của Hợi."
