id,loai_quan_he,can_1,can_2,ket_qua,dieu_kien,ghi_chu
CAN_HOP_001,hop,Giáp,Kỷ,Thổ,Đủ điều kiện hóa,Chính hợp
CAN_HOP_002,hop,Ất,Canh,Kim,Đủ điều kiện hóa,Chính hợp
CAN_HOP_003,hop,Bính,Tân,Thủy,Đủ điều kiện hóa,Chính hợp
CAN_HOP_004,hop,Đinh,Nhâm,Mộc,Đủ điều kiện hóa,Chính hợp
CAN_HOP_005,hop,Mậu,Quý,Hỏa,Đủ điều kiện hóa,Chính hợp

CAN_HOP_006,hop,Kỷ,Giáp,Thổ,Đủ điều kiện hóa,Chính hợp
CAN_HOP_007,hop,Canh,Ất,Kim,Đủ điều kiện hóa,Chính hợp
CAN_HOP_008,hop,Tân,Bính,Thủy,Đủ điều kiện hóa,Chính hợp
CAN_HOP_009,hop,Nhâm,Đinh,Mộc,Đủ điều kiện hóa,Chính hợp
CAN_HOP_010,hop,Quý,Mậu,Hỏa,Đủ điều kiện hóa,Chính hợp
