branch_index,branch,branch_code,start_hour,start_minute,end_hour,end_minute,start_time,end_time,is_cross_day
0,Tý,TY,23,0,0,59,23:00,00:59,1
1,Sửu,SUU,1,0,2,59,01:00,02:59,0
2,Dần,DAN,3,0,4,59,03:00,04:59,0
3,Mão,MAO,5,0,6,59,05:00,06:59,0
4,Thìn,THIN,7,0,8,59,07:00,08:59,0
5,Tỵ,TY2,9,0,10,59,09:00,10:59,0
6,Ngọ,NGO,11,0,12,59,11:00,12:59,0
7,Mùi,MUI,13,0,14,59,13:00,14:59,0
8,Thân,THAN,15,0,16,59,15:00,16:59,0
9,Dậu,DAU,17,0,18,59,17:00,18:59,0
10,Tuất,TUAT,19,0,20,59,19:00,20:59,0
11,Hợi,HOI,21,0,22,59,21:00,22:59,0
