id,ma_can,ten_can,am_duong,ngu_hanh,vai_tro,mo_ta
NC001,CAN_GIAP,Giáp,Dương,Mộc,Nhật Chủ Giáp Mộc,Đại diện người có Nhật Chủ Giáp Mộc
NC002,CAN_AT,Ất,Âm,Mộc,Nhật Chủ Ất Mộc,Đại diện người có Nhật Chủ Ất Mộc
NC003,CAN_BINH,Bính,Dương,Hỏa,Nhật Chủ Bính Hỏa,Đại diện người có Nhật Chủ Bính Hỏa
NC004,CAN_DINH,Đinh,Âm,Hỏa,Nhật Chủ Đinh Hỏa,Đại diện người có Nhật Chủ Đinh Hỏa
NC005,CAN_MAU,Mậu,Dương,Thổ,Nhật Chủ Mậu Thổ,Đại diện người có Nhật Chủ Mậu Thổ
NC006,CAN_KY,Kỷ,Âm,Thổ,Nhật Chủ Kỷ Thổ,Đại diện người có Nhật Chủ Kỷ Thổ
NC007,CAN_CANH,Canh,Dương,Kim,Nhật Chủ Canh Kim,Đại diện người có Nhật Chủ Canh Kim
NC008,CAN_TAN,Tân,Âm,Kim,Nhật Chủ Tân Kim,Đại diện người có Nhật Chủ Tân Kim
NC009,CAN_NHAM,Nhâm,Dương,Thủy,Nhật Chủ Nhâm Thủy,Đại diện người có Nhật Chủ Nhâm Thủy
NC010,CAN_QUY,Quý,Âm,Thủy,Nhật Chủ Quý Thủy,Đại diện người có Nhật Chủ Quý Thủy
