can_chu,ngu_hanh,can_tac_dong,ngu_hanh_tac_dong,quan_he,loai,tac_dung
Giáp,Mộc,Mậu,Thổ,Khắc,khac_xuat,Mộc khắc Thổ
Giáp,Mộc,Kỷ,Thổ,Khắc,khac_xuat,Mộc khắc Kỷ

Ất,Mộc,Mậu,Thổ,Khắc,khac_xuat,Ất khắc Mậu
Ất,Mộc,Kỷ,Thổ,Khắc,khac_xuat,Ất khắc Kỷ


Bính,Hỏa,Canh,Kim,Khắc,khac_xuat,Hỏa khắc Kim
Bính,Hỏa,Tân,Kim,Khắc,khac_xuat,Hỏa khắc Tân

Đinh,Hỏa,Canh,Kim,Khắc,khac_xuat,Hỏa khắc Kim
Đinh,Hỏa,Tân,Kim,Khắc,khac_xuat,Hỏa khắc Tân


Mậu,Thổ,Nhâm,Thủy,Khắc,khac_xuat,Thổ khắc Thủy
Mậu,Thổ,Quý,Thủy,Khắc,khac_xuat,Thổ khắc Quý

Kỷ,Thổ,Nhâm,Thủy,Khắc,khac_xuat,Thổ khắc Thủy
Kỷ,Thổ,Quý,Thủy,Khắc,khac_xuat,Thổ khắc Quý


Canh,Kim,Giáp,Mộc,Khắc,khac_xuat,Kim khắc Mộc
Canh,Kim,Ất,Mộc,Khắc,khac_xuat,Kim khắc Ất

Tân,Kim,Giáp,Mộc,Khắc,khac_xuat,Kim khắc Mộc
Tân,Kim,Ất,Mộc,Khắc,khac_xuat,Kim khắc Ất


Nhâm,Thủy,Bính,Hỏa,Khắc,khac_xuat,Thủy khắc Hỏa
Nhâm,Thủy,Đinh,Hỏa,Khắc,khac_xuat,Thủy khắc Đinh

Quý,Thủy,Bính,Hỏa,Khắc,khac_xuat,Thủy khắc Hỏa
Quý,Thủy,Đinh,Hỏa,Khắc,khac_xuat,Thủy khắc Đinh
