can_chu,ngu_hanh,can_tac_dong,ngu_hanh_tac_dong,quan_he,loai,tac_dung
Giáp,Mộc,Bính,Hỏa,Sinh,sinh_xuat,Giáp sinh Bính làm giảm lực Mộc
Giáp,Mộc,Đinh,Hỏa,Sinh,sinh_xuat,Giáp sinh Đinh làm giảm lực Mộc

Ất,Mộc,Bính,Hỏa,Sinh,sinh_xuat,Ất sinh Bính
Ất,Mộc,Đinh,Hỏa,Sinh,sinh_xuat,Ất sinh Đinh


Bính,Hỏa,Mậu,Thổ,Sinh,sinh_xuat,Bính sinh Mậu
Bính,Hỏa,Kỷ,Thổ,Sinh,sinh_xuat,Bính sinh Kỷ

Đinh,Hỏa,Mậu,Thổ,Sinh,sinh_xuat,Đinh sinh Mậu
Đinh,Hỏa,Kỷ,Thổ,Sinh,sinh_xuat,Đinh sinh Kỷ


Mậu,Thổ,Canh,Kim,Sinh,sinh_xuat,Mậu sinh Canh
Mậu,Thổ,Tân,Kim,Sinh,sinh_xuat,Mậu sinh Tân

Kỷ,Thổ,Canh,Kim,Sinh,sinh_xuat,Kỷ sinh Canh
Kỷ,Thổ,Tân,Kim,Sinh,sinh_xuat,Kỷ sinh Tân


Canh,Kim,Nhâm,Thủy,Sinh,sinh_xuat,Canh sinh Nhâm
Canh,Kim,Quý,Thủy,Sinh,sinh_xuat,Canh sinh Quý

Tân,Kim,Nhâm,Thủy,Sinh,sinh_xuat,Tân sinh Nhâm
Tân,Kim,Quý,Thủy,Sinh,sinh_xuat,Tân sinh Quý


Nhâm,Thủy,Giáp,Mộc,Sinh,sinh_xuat,Nhâm sinh Giáp
Nhâm,Thủy,Ất,Mộc,Sinh,sinh_xuat,Nhâm sinh Ất

Quý,Thủy,Giáp,Mộc,Sinh,sinh_xuat,Quý sinh Giáp
Quý,Thủy,Ất,Mộc,Sinh,sinh_xuat,Quý sinh Ất
