chi_chu,ngu_hanh,chi_tac_dong,ngu_hanh_tac_dong,quan_he,ghi_chu
Tý,Thủy,Dần,Mộc,Sinh,Tý sinh Dần
Tý,Thủy,Mão,Mộc,Sinh,Tý sinh Mão

Sửu,Thổ,Tý,Thủy,Khắc,Sửu khắc Tý

Dần,Mộc,Ngọ,Hỏa,Sinh,Dần sinh Ngọ

Mão,Mộc,Tỵ,Hỏa,Sinh,Mão sinh Tỵ

Thìn,Thổ,Tý,Thủy,Khắc,Thìn khắc Tý

Tỵ,Hỏa,Mùi,Thổ,Sinh,Tỵ sinh Mùi

Ngọ,Hỏa,Thân,Kim,Khắc,Ngọ khắc Thân

Mùi,Thổ,Dậu,Kim,Sinh,Mùi sinh Dậu

Thân,Kim,Tý,Thủy,Sinh,Thân sinh Tý

Dậu,Kim,Hợi,Thủy,Sinh,Dậu sinh Hợi

Tuất,Thổ,Hợi,Thủy,Khắc,Tuất khắc Hợi

Hợi,Thủy,Dần,Mộc,Sinh,Hợi sinh Dần
