nhat_chu,ngu_hanh_nhat_chu,nguyet_lenh,trang_thai,diem
Giáp,Mộc,Dần,Đắc lệnh,40
Giáp,Mộc,Mão,Đắc lệnh,40
Giáp,Mộc,Thìn,Dư khí,25
Giáp,Mộc,Tỵ,Tiết khí,10
Giáp,Mộc,Ngọ,Tử,-10
Giáp,Mộc,Mùi,Mộ,-20
Giáp,Mộc,Thân,Tuyệt,-35
Giáp,Mộc,Dậu,Thai,-25
Giáp,Mộc,Tuất,Dư khí,-10
Giáp,Mộc,Hợi,Trường sinh,30
Giáp,Mộc,Tý,Mộc được sinh,20
Giáp,Mộc,Sửu,Hưu,-5
Ất,Mộc,Dần,Đắc lệnh,40
Ất,Mộc,Mão,Đắc lệnh,40
Ất,Mộc,Thìn,Dư khí,25
Ất,Mộc,Tỵ,Tiết khí,10
Ất,Mộc,Ngọ,Tử,-10
Ất,Mộc,Mùi,Mộ,-20
Ất,Mộc,Thân,Tuyệt,-35
Ất,Mộc,Dậu,Thai,-25
Ất,Mộc,Tuất,Dư khí,-10
Ất,Mộc,Hợi,Trường sinh,30
Ất,Mộc,Tý,Mộc được sinh,20
Ất,Mộc,Sửu,Hưu,-5
Bính,Hỏa,Dần,Trường sinh,25
Bính,Hỏa,Mão,Mộc sinh Hỏa,20
Bính,Hỏa,Thìn,Dư khí,15
Bính,Hỏa,Tỵ,Đắc lệnh,40
Bính,Hỏa,Ngọ,Đế vượng,45
Bính,Hỏa,Mùi,Dư khí,25
Bính,Hỏa,Thân,Bệnh,-10
Bính,Hỏa,Dậu,Tử,-20
Bính,Hỏa,Tuất,Mộ,-25
Bính,Hỏa,Hợi,Tuyệt,-35
Bính,Hỏa,Tý,Thai,-20
Bính,Hỏa,Sửu,Dư khí,-5
Đinh,Hỏa,Dần,Trường sinh,25
Đinh,Hỏa,Mão,Mộc sinh Hỏa,20
Đinh,Hỏa,Thìn,Dư khí,15
Đinh,Hỏa,Tỵ,Đắc lệnh,40
Đinh,Hỏa,Ngọ,Đế vượng,45
Đinh,Hỏa,Mùi,Dư khí,25
Đinh,Hỏa,Thân,Bệnh,-10
Đinh,Hỏa,Dậu,Tử,-20
Đinh,Hỏa,Tuất,Mộ,-25
Đinh,Hỏa,Hợi,Tuyệt,-35
Đinh,Hỏa,Tý,Thai,-20
Đinh,Hỏa,Sửu,Dư khí,-5
Mậu,Thổ,Dần,Dư khí,15
Mậu,Thổ,Mão,Khắc tiết,-10
Mậu,Thổ,Thìn,Đắc lệnh,40
Mậu,Thổ,Tỵ,Hỏa sinh Thổ,30
Mậu,Thổ,Ngọ,Hỏa sinh Thổ,35
Mậu,Thổ,Mùi,Đế vượng,45
Mậu,Thổ,Thân,Tiết khí,5
Mậu,Thổ,Dậu,Tiết khí,0
Mậu,Thổ,Tuất,Đắc lệnh,40
Mậu,Thổ,Hợi,Tài,-20
Mậu,Thổ,Tý,Tài,-25
Mậu,Thổ,Sửu,Dư khí,30
Kỷ,Thổ,Dần,Dư khí,15
Kỷ,Thổ,Mão,Khắc tiết,-10
Kỷ,Thổ,Thìn,Đắc lệnh,40
Kỷ,Thổ,Tỵ,Hỏa sinh Thổ,30
Kỷ,Thổ,Ngọ,Hỏa sinh Thổ,35
Kỷ,Thổ,Mùi,Đế vượng,45
Kỷ,Thổ,Thân,Tiết khí,5
Kỷ,Thổ,Dậu,Tiết khí,0
Kỷ,Thổ,Tuất,Đắc lệnh,40
Kỷ,Thổ,Hợi,Tài,-20
Kỷ,Thổ,Tý,Tài,-25
Kỷ,Thổ,Sửu,Dư khí,30
Canh,Kim,Dần,Tuyệt,-35
Canh,Kim,Mão,Thai,-20
Canh,Kim,Thìn,Thổ sinh Kim,20
Canh,Kim,Tỵ,Trường sinh,30
Canh,Kim,Ngọ,Bệnh,-10
