nhat_chu,dia_chi,tang_can_trung,ngu_hanh,muc_do
Giáp,Tý,,,Không
Giáp,Sửu,,,Không
Giáp,Dần,Giáp,Mộc,Chính khí
Giáp,Mão,Ất,Mộc,Chính khí
Giáp,Thìn,Ất,Mộc,Dư khí
Giáp,Tỵ,,,Không
Giáp,Ngọ,,,Không
Giáp,Mùi,Ất,Mộc,Dư khí
Giáp,Thân,,,Không
Giáp,Dậu,,,Không
Giáp,Tuất,Ất,Mộc,Dư khí
Giáp,Hợi,Giáp,Mộc,Trung khí
Ất,Tý,,,Không
Ất,Sửu,,,Không
Ất,Dần,Giáp,Mộc,Chính khí
Ất,Mão,Ất,Mộc,Chính khí
Ất,Thìn,Ất,Mộc,Dư khí
Ất,Tỵ,,,Không
Ất,Ngọ,,,Không
Ất,Mùi,Ất,Mộc,Dư khí
Ất,Thân,,,Không
Ất,Dậu,,,Không
Ất,Tuất,Ất,Mộc,Dư khí
Ất,Hợi,Giáp,Mộc,Trung khí
Bính,Tý,,,Không
Bính,Sửu,,,Không
Bính,Dần,Bính,Hỏa,Trung khí
Bính,Mão,,,Không
Bính,Thìn,,,Không
Bính,Tỵ,Bính,Hỏa,Chính khí
Bính,Ngọ,Đinh,Hỏa,Chính khí
Bính,Mùi,Đinh,Hỏa,Trung khí
Bính,Thân,,,Không
Bính,Dậu,,,Không
Bính,Tuất,Đinh,Hỏa,Trung khí
Bính,Hợi,,,Không
Đinh,Tý,,,Không
Đinh,Sửu,,,Không
Đinh,Dần,Bính,Hỏa,Trung khí
Đinh,Mão,,,Không
Đinh,Thìn,,,Không
Đinh,Tỵ,Bính,Hỏa,Chính khí
Đinh,Ngọ,Đinh,Hỏa,Chính khí
Đinh,Mùi,Đinh,Hỏa,Trung khí
Đinh,Thân,,,Không
Đinh,Dậu,,,Không
Đinh,Tuất,Đinh,Hỏa,Trung khí
Đinh,Hợi,,,Không
Mậu,Tý,,,Không
Mậu,Sửu,Kỷ,Thổ,Trung khí
Mậu,Dần,Mậu,Thổ,Dư khí
Mậu,Mão,,,Không
Mậu,Thìn,Mậu,Thổ,Chính khí
Mậu,Tỵ,Mậu,Thổ,Trung khí
Mậu,Ngọ,Kỷ,Thổ,Dư khí
Mậu,Mùi,Kỷ,Thổ,Chính khí
Mậu,Thân,Mậu,Thổ,Dư khí
Mậu,Dậu,,,Không
Mậu,Tuất,Mậu,Thổ,Chính khí
Mậu,Hợi,,,Không
Kỷ,Tý,,,Không
Kỷ,Sửu,Kỷ,Thổ,Trung khí
Kỷ,Dần,Mậu,Thổ,Dư khí
Kỷ,Mão,,,Không
Kỷ,Thìn,Mậu,Thổ,Chính khí
Kỷ,Tỵ,Mậu,Thổ,Trung khí
Kỷ,Ngọ,Kỷ,Thổ,Dư khí
Kỷ,Mùi,Kỷ,Thổ,Chính khí
Kỷ,Thân,Mậu,Thổ,Dư khí
Kỷ,Dậu,,,Không
Kỷ,Tuất,Mậu,Thổ,Chính khí
Kỷ,Hợi,,,Không
Canh,Tý,,,Không
Canh,Sửu,Tân,Kim,Trung khí
Canh,Dần,,,Không
Canh,Mão,,,Không
Canh,Thìn,,,Không
Canh,Tỵ,Canh,Kim,Dư khí
Canh,Ngọ,,,Không
Canh,Mùi,,,Không
Canh,Thân,Canh,Kim,Chính khí
Canh,Dậu,Tân,Kim,Chính khí
Canh,Tuất,Tân,Kim,Dư khí
Canh,Hợi,,,Không
Tân,Tý,,,Không
Tân,Sửu,Tân,Kim,Trung khí
Tân,Dần,,,Không
Tân,Mão,,,Không
Tân,Thìn,,,Không
Tân,Tỵ,Canh,Kim,Dư khí
Tân,Ngọ,,,Không
Tân,Mùi,,,Không
Tân,Thân,Canh,Kim,Chính khí
Tân,Dậu,Tân,Kim,Chính khí
Tân,Tuất,Tân,Kim,Dư khí
Tân,Hợi,,,Không
Nhâm,Tý,Quý,Thủy,Chính khí
Nhâm,Sửu,Quý,Thủy,Dư khí
Nhâm,Dần,,,Không
Nhâm,Mão,,,Không
Nhâm,Thìn,Quý,Thủy,Trung khí
Nhâm,Tỵ,,,Không
Nhâm,Ngọ,,,Không
Nhâm,Mùi,,,Không
Nhâm,Thân,Nhâm,Thủy,Trung khí
Nhâm,Dậu,,,Không
Nhâm,Tuất,,,Không
Nhâm,Hợi,Nhâm,Thủy,Chính khí
Quý,Tý,Quý,Thủy,Chính khí
Quý,Sửu,Quý,Thủy,Dư khí
Quý,Dần,,,Không
Quý,Mão,,,Không
Quý,Thìn,Quý,Thủy,Trung khí
Quý,Tỵ,,,Không
Quý,Ngọ,,,Không
Quý,Mùi,,,Không
Quý,Thân,Nhâm,Thủy,Trung khí
Quý,Dậu,,,Không
Quý,Tuất,,,Không
Quý,Hợi,Nhâm,Thủy,Chính khí
