nhat_chu,dia_chi,truong_sinh,thu_tu
Giáp,Hợi,Trường Sinh,1
Giáp,Tý,Mộc Dục,2
Giáp,Sửu,Quan Đới,3
Giáp,Dần,Lâm Quan,4
Giáp,Mão,Đế Vượng,5
Giáp,Thìn,Suy,6
Giáp,Tỵ,Bệnh,7
Giáp,Ngọ,Tử,8
Giáp,Mùi,Mộ,9
Giáp,Thân,Tuyệt,10
Giáp,Dậu,Thai,11
Giáp,Tuất,Dưỡng,12
Ất,Ngọ,Trường Sinh,1
Ất,Tỵ,Mộc Dục,2
Ất,Thìn,Quan Đới,3
Ất,Mão,Lâm Quan,4
Ất,Dần,Đế Vượng,5
Ất,Sửu,Suy,6
Ất,Tý,Bệnh,7
Ất,Hợi,Tử,8
Ất,Tuất,Mộ,9
Ất,Dậu,Tuyệt,10
Ất,Thân,Thai,11
Ất,Mùi,Dưỡng,12
Bính,Dần,Trường Sinh,1
Bính,Mão,Mộc Dục,2
Bính,Thìn,Quan Đới,3
Bính,Tỵ,Lâm Quan,4
Bính,Ngọ,Đế Vượng,5
Bính,Mùi,Suy,6
Bính,Thân,Bệnh,7
Bính,Dậu,Tử,8
Bính,Tuất,Mộ,9
Bính,Hợi,Tuyệt,10
Bính,Tý,Thai,11
Bính,Sửu,Dưỡng,12
Đinh,Dậu,Trường Sinh,1
Đinh,Thân,Mộc Dục,2
Đinh,Mùi,Quan Đới,3
Đinh,Ngọ,Lâm Quan,4
Đinh,Tỵ,Đế Vượng,5
Đinh,Thìn,Suy,6
Đinh,Mão,Bệnh,7
Đinh,Dần,Tử,8
Đinh,Sửu,Mộ,9
Đinh,Tý,Tuyệt,10
Đinh,Hợi,Thai,11
Đinh,Tuất,Dưỡng,12
Mậu,Dần,Trường Sinh,1
Mậu,Mão,Mộc Dục,2
Mậu,Thìn,Quan Đới,3
Mậu,Tỵ,Lâm Quan,4
Mậu,Ngọ,Đế Vượng,5
Mậu,Mùi,Suy,6
Mậu,Thân,Bệnh,7
Mậu,Dậu,Tử,8
Mậu,Tuất,Mộ,9
Mậu,Hợi,Tuyệt,10
Mậu,Tý,Thai,11
Mậu,Sửu,Dưỡng,12
Kỷ,Dậu,Trường Sinh,1
Kỷ,Thân,Mộc Dục,2
Kỷ,Mùi,Quan Đới,3
Kỷ,Ngọ,Lâm Quan,4
Kỷ,Tỵ,Đế Vượng,5
Kỷ,Thìn,Suy,6
Kỷ,Mão,Bệnh,7
Kỷ,Dần,Tử,8
Kỷ,Sửu,Mộ,9
Kỷ,Tý,Tuyệt,10
Kỷ,Hợi,Thai,11
Kỷ,Tuất,Dưỡng,12
Canh,Tỵ,Trường Sinh,1
Canh,Ngọ,Mộc Dục,2
Canh,Mùi,Quan Đới,3
Canh,Thân,Lâm Quan,4
Canh,Dậu,Đế Vượng,5
Canh,Tuất,Suy,6
Canh,Hợi,Bệnh,7
Canh,Tý,Tử,8
Canh,Sửu,Mộ,9
Canh,Dần,Tuyệt,10
Canh,Mão,Thai,11
Canh,Thìn,Dưỡng,12
Tân,Tý,Trường Sinh,1
Tân,Hợi,Mộc Dục,2
Tân,Tuất,Quan Đới,3
Tân,Dậu,Lâm Quan,4
Tân,Thân,Đế Vượng,5
Tân,Mùi,Suy,6
Tân,Ngọ,Bệnh,7
Tân,Tỵ,Tử,8
Tân,Thìn,Mộ,9
Tân,Mão,Tuyệt,10
Tân,Dần,Thai,11
Tân,Sửu,Dưỡng,12
Nhâm,Thân,Trường Sinh,1
Nhâm,Dậu,Mộc Dục,2
Nhâm,Tuất,Quan Đới,3
Nhâm,Hợi,Lâm Quan,4
Nhâm,Tý,Đế Vượng,5
Nhâm,Sửu,Suy,6
Nhâm,Dần,Bệnh,7
Nhâm,Mão,Tử,8
Nhâm,Thìn,Mộ,9
Nhâm,Tỵ,Tuyệt,10
Nhâm,Ngọ,Thai,11
Nhâm,Mùi,Dưỡng,12
Quý,Mão,Trường Sinh,1
Quý,Dần,Mộc Dục,2
Quý,Sửu,Quan Đới,3
Quý,Tý,Lâm Quan,4
Quý,Hợi,Đế Vượng,5
Quý,Tuất,Suy,6
Quý,Dậu,Bệnh,7
Quý,Thân,Tử,8
Quý,Mùi,Mộ,9
Quý,Ngọ,Tuyệt,10
Quý,Tỵ,Thai,11
Quý,Thìn,Dưỡng,12
