cach_id,dieu_kien,ket_qua,ghi_chu
CC001,Quan cực vượng mà Nhật chủ quá yếu,Chuyển Tòng Quan,
CC002,Sát có Ấn mạnh,Sát Ấn tương sinh,
CC003,Tài quá nhiều thân quá yếu,Chuyển Tòng Tài,
CC005,Ấn cực vượng,Chuyển Tòng Ấn,
CC007,Thực Thần sinh Tài mạnh,Thực Thần Sinh Tài,
CC008,Thương Quan phối Tài,Thương Quan Sinh Tài,
CC011,Gặp đủ điều kiện Tòng Vượng,Duy trì Tòng Vượng,
CC012,Gặp đủ điều kiện Tòng Nhược,Duy trì Tòng Nhược,
CC016,Hợp hóa hoàn toàn,Hóa Khí Cách,
CC017,Mộc thuần khí,Khúc Trực Cách,
CC018,Hỏa thuần khí,Viêm Thượng Cách,
CC019,Thổ thuần khí,Giá Sắc Cách,
CC020,Kim thuần khí,Tòng Cách Kim,
CC021,Thủy thuần khí,Nhuận Hạ Cách
