cach_id,ten_cach,dieu_kien_chinh,uu_tien
CC011,Tòng Vượng,Thân cực vượng,1
CC012,Tòng Nhược,Thân cực nhược,1
CC013,Tòng Sát,Sát cực mạnh,2
CC014,Tòng Tài,Tài cực mạnh,2
CC015,Tòng Ấn,Ấn cực mạnh,2
CC016,Hóa Khí,Can hợp hóa thành công,1
CC017,Khúc Trực,Mộc thuần khí,2
CC018,Viêm Thượng,Hỏa thuần khí,2
CC019,Giá Sắc,Thổ thuần khí,2
CC020,Kim Bạch,Kim thuần khí,2
CC021,Nhuận Hạ,Thủy thuần khí,2
CC028,Sát Ấn Tương Sinh,Sát sinh Ấn,1
CC029,Tài Quan Song Mỹ,Tài sinh Quan,2
CC030,Thực Thần Sinh Tài,Thực Thần sinh Tài,2
