cach_id,thu_tu,dieu_kien,gia_tri,bat_buoc,ghi_chu
CC001,1,Nguyệt lệnh,Chính Quan,Có,Điều kiện lập cách
CC001,2,Quan tinh,Không bị phá,Có,
CC001,3,Quan tinh,Không bị hợp hóa,Có,
CC001,4,Quan tinh,Có căn,Không,Nếu có càng tốt
CC001,5,Ấn tinh,Có sinh Quan,Không,Thành cách cao
CC002,1,Nguyệt lệnh,Thất Sát,Có,
CC002,2,Sát tinh,Không bị chế quá mức,Có,
CC002,3,Ấn tinh,Có,Có,Sát Ấn tương sinh
CC002,4,Sát tinh,Có căn,Không,
CC002,5,Nhật chủ,Không quá nhược,Có,
CC003,1,Nguyệt lệnh,Chính Tài,Có,
CC003,2,Tài tinh,Không bị Kiếp phá,Có,
CC003,3,Tài tinh,Có căn,Không,
CC003,4,Quan tinh,Có,Không,Tài sinh Quan
CC003,5,Nhật chủ,Có lực,Có,
CC004,1,Nguyệt lệnh,Thiên Tài,Có,
CC004,2,Tài tinh,Có căn,Không,
CC004,3,Tỷ Kiên,Không quá nhiều,Có,
CC004,4,Quan tinh,Có,Không,
CC004,5,Nhật chủ,Có lực,Có,
CC005,1,Nguyệt lệnh,Chính Ấn,Có,
CC005,2,Ấn tinh,Không bị Tài phá,Có,
CC005,3,Ấn tinh,Có căn,Không,
CC005,4,Quan tinh,Có sinh Ấn,Không,
CC005,5,Nhật chủ,Có lực,Có,
CC006,1,Nguyệt lệnh,Thiên Ấn,Có,
CC006,2,Ấn tinh,Có căn,Không,
CC006,3,Thiên Ấn,Không quá nhiều,Có,
CC006,4,Nhật chủ,Có lực,Có,
CC007,1,Nguyệt lệnh,Thực Thần,Có,
CC007,2,Thực Thần,Không bị Kiêu đoạt,Có,
CC007,3,Tài tinh,Có,Không,Thực Thần sinh Tài
CC007,4,Nhật chủ,Có lực,Có,
CC008,1,Nguyệt lệnh,Thương Quan,Có,
CC008,2,Quan tinh,Không xuất hiện,Có,Thương Quan kiến Quan là phá cách
CC008,3,Tài tinh,Có,Không,
CC008,4,Nhật chủ,Có lực,Có,
CC009,1,Nguyệt lệnh,Tỷ Kiên,Có,
CC009,2,Nhật chủ,Thân vượng,Có,
CC009,3,Tài tinh,Có,Không,
CC009,4,Quan tinh,Có,Không,
CC010,1,Nguyệt lệnh,Kiếp Tài,Có,
CC010,2,Nhật chủ,Thân vượng,Có,
CC010,3,Tài tinh,Không quá yếu,Có,
CC010,4,Quan tinh,Có,Không,
CC011,1,Nhật chủ,Thân cực vượng,Có,
CC011,2,Sinh trợ,Rất nhiều,Có,
CC011,3,Khắc tiết,Rất ít,Có,
CC011,4,Tòng cách,Đủ điều kiện,Có,
CC012,1,Nhật chủ,Thân cực nhược,Có,
CC012,2,Sinh trợ,Rất ít,Có,
CC012,3,Khắc tiết,Rất nhiều,Có,
CC012,4,Tòng cách,Đủ điều kiện,Có,

CC013,1,Thất Sát,Rất vượng,Có,
CC013,2,Nhật chủ,Cực nhược,Có,
CC013,3,Ấn tinh,Không cứu,Có,
CC014,1,Tài tinh,Rất vượng,Có,
CC014,2,Nhật chủ,Cực nhược,Có,
CC014,3,Tỷ Kiên,Không cứu,Có,
CC015,1,Ấn tinh,Rất vượng,Có,
CC015,2,Nhật chủ,Cực nhược,Có,
CC015,3,Tài tinh,Không phá Ấn,Có,
CC016,1,Thiên Can,Có hợp hóa,Có,
CC016,2,Hóa khí,Thành công,Có,
CC016,3,Mùa sinh,Ủng hộ hóa,Có,
CC016,4,Địa Chi,Có trợ hóa,Không,
CC017,1,Ngũ hành,Mộc cực vượng,Có,
CC018,1,Ngũ hành,Hỏa cực vượng,Có,
CC019,1,Ngũ hành,Thổ cực vượng,Có,
CC020,1,Ngũ hành,Kim cực vượng,Có,
CC021,1,Ngũ hành,Thủy cực vượng,Có,
CC022,1,Thủy,Rất vượng,Có,
CC022,2,Hỏa,Rất ít,Có,
CC023,1,Hỏa,Rất vượng,Có,
CC023,2,Thủy,Rất ít,Có,
CC024,1,Mộc,Rất vượng,Có,
CC024,2,Kim,Rất ít,Có,
CC025,1,Thổ,Rất vượng,Có,
CC025,2,Mộc,Rất ít,Có,
CC026,1,Thân,Cực vượng,Có,
CC026,2,Theo thế cục,Hoàn toàn,Có,
CC027,1,Thân,Cực nhược,Có,
CC027,2,Theo thế cục,Hoàn toàn,Có,
CC028,1,Thất Sát,Có,Có,
CC028,2,Chính Ấn hoặc Thiên Ấn,Có,Có,
CC028,3,Sát sinh Ấn,Thành lập,Có,
CC029,1,Tài tinh,Có,Có,
CC029,2,Quan tinh,Có,Có,
CC029,3,Tài sinh Quan,Thành lập,Có,

CC030,1,Thực Thần,Có,Có,
CC030,2,Tài tinh,Có,Có,
CC030,3,Thực Thần sinh Tài,Thành lập,Có
