cach_id,thu_tu,yeu_to,nguyen_nhan,muc_do,ghi_chu
CC001,1,Quan tinh,Bị Thương Quan khắc,Rất nặng,Thương Quan kiến Quan
CC001,2,Quan tinh,Bị hợp hóa,Nặng,
CC001,3,Quan tinh,Mất căn,Nặng,
CC001,4,Quan tinh,Bị xung,Nặng,

CC002,1,Sát tinh,Bị chế quá mức,Nặng,
CC002,2,Sát tinh,Không có Ấn hóa,Nặng,
CC002,3,Sát tinh,Mất căn,Nặng,

CC003,1,Tài tinh,Bị Kiếp Tài đoạt,Nặng,
CC003,2,Tài tinh,Mất căn,Nặng,
CC003,3,Nhật chủ,Quá nhược,Nặng,

CC004,1,Thiên Tài,Bị Kiếp đoạt,Nặng,

CC005,1,Ấn tinh,Bị Tài phá,Nặng,

CC006,1,Thiên Ấn,Bị Tài phá,Nặng,

CC007,1,Thực Thần,Bị Kiêu đoạt,Rất nặng,

CC008,1,Thương Quan,Gặp Quan,Rất nặng,

CC009,1,Tỷ Kiên,Quá nhiều,Nặng,

CC010,1,Kiếp Tài,Quá nhiều,Nặng
