thu_tu,buoc,du_lieu,ket_qua
1,Xác định Nhật Chủ,01_nhat_chu,Nhật Chủ
2,Tính Thân Vượng Nhược,03_than_vuong_than_nhuoc,Thân mạnh/yếu
3,Xác định Nguyệt Lệnh,04_la_so,Thập Thần chủ lệnh
4,Tra Điều kiện lập cách,02_dieu_kien_lap_cach,Cách sơ bộ
5,Kiểm tra Thành cách,03_thanh_cach,Điểm cộng
6,Kiểm tra Phá cách,04_pha_cach,Điểm trừ
7,Kiểm tra Biến cách,05_bien_cach,Điều chỉnh
8,Kiểm tra Cách đặc biệt,06_cach_cuc_dac_biet,Ưu tiên
9,Xếp hạng Cách Cục,Tổng hợp,Cách Cục cuối cùng
10,Chuyển sang Dụng Thần,05_dung_than,Kết thúc
