cach_id,thu_tu,dieu_kien,gia_tri,muc_do,ghi_chu
CC001,1,Quan tinh,Có căn,Cao,Tăng độ bền cách cục
CC001,2,Quan tinh,Đắc lệnh,Cao,
CC001,3,Quan tinh,Được Ấn sinh,Cao,
CC001,4,Quan tinh,Không bị xung,Trung bình,
CC001,5,Quan tinh,Không bị hợp mất,Cao,

CC002,1,Sát tinh,Có Ấn hóa,Cao,Sát Ấn tương sinh
CC002,2,Sát tinh,Có căn,Cao,
CC002,3,Sát tinh,Đắc lệnh,Cao,
CC002,4,Nhật chủ,Có lực,Cao,

CC003,1,Tài tinh,Có căn,Cao,
CC003,2,Tài tinh,Đắc lệnh,Cao,
CC003,3,Tài sinh Quan,Có,Cao,
CC003,4,Nhật chủ,Có lực,Cao,

CC004,1,Thiên Tài,Có căn,Cao,
CC004,2,Thiên Tài,Đắc lệnh,Cao,

CC005,1,Ấn tinh,Có căn,Cao,
CC005,2,Ấn tinh,Đắc lệnh,Cao,
CC005,3,Quan sinh Ấn,Có,Cao,

CC006,1,Thiên Ấn,Có căn,Cao,
CC006,2,Thiên Ấn,Không bị Tài phá,Cao,

CC007,1,Thực Thần,Có căn,Cao,
CC007,2,Thực Thần,Sinh Tài,Cao,

CC008,1,Thương Quan,Sinh Tài,Cao,
CC008,2,Không gặp Quan,Cao,

CC009,1,Tỷ Kiên,Đắc lệnh,Cao,
CC010,1,Kiếp Tài,Đắc lệnh,Cao
