rule_id,nhom_quy_tac,dieu_kien,gia_tri,hanh_dong,muc_uu_tien,ghi_chu

DT001,Thân vượng nhược,Thân,Nhược,Ưu tiên hành sinh Nhật Chủ,100,Nguyên tắc cơ bản
DT002,Thân vượng nhược,Thân,Nhược,Ưu tiên hành đồng hành Nhật Chủ,90,Hỗ trợ Nhật Chủ
DT003,Thân vượng nhược,Thân,Vượng,Ưu tiên hành tiết Nhật Chủ,100,Cân bằng khí
DT004,Thân vượng nhược,Thân,Vượng,Ưu tiên hành khắc Nhật Chủ,90,Giảm vượng
DT005,Thân vượng nhược,Thân,Trung hòa,Ưu tiên giữ cân bằng ngũ hành,95,Không thiên lệch

DT006,Cách cục,Cách Cục,Chính Quan,Bảo vệ Quan tinh,95,Ưu tiên giữ Cách
DT007,Cách cục,Cách Cục,Thất Sát,Ưu tiên hóa Sát bằng Ấn,100,Sát Ấn tương sinh
DT008,Cách cục,Cách Cục,Chính Tài,Bảo vệ Tài tinh,90,
DT009,Cách cục,Cách Cục,Thiên Tài,Bảo vệ Tài tinh,90,
DT010,Cách cục,Cách Cục,Chính Ấn,Bảo vệ Ấn tinh,90,
DT011,Cách cục,Cách Cục,Thiên Ấn,Bảo vệ Ấn tinh,90,
DT012,Cách cục,Cách Cục,Thực Thần,Ưu tiên Thực Thần sinh Tài,90,
DT013,Cách cục,Cách Cục,Thương Quan,Ưu tiên Thương Quan sinh Tài,90,
DT014,Cách cục,Cách Cục,Tỷ Kiên,Duy trì cân bằng Nhật Chủ,80,
DT015,Cách cục,Cách Cục,Kiếp Tài,Hạn chế tranh Tài,80,

DT016,Điều hậu,Khí hậu,Hàn,Ưu tiên Hỏa điều hậu,120,Ưu tiên cao nhất
DT017,Điều hậu,Khí hậu,Nhiệt,Ưu tiên Thủy điều hậu,120,
DT018,Điều hậu,Khí hậu,Táo,Ưu tiên Thủy nhuận táo,110,
DT019,Điều hậu,Khí hậu,Thấp,Ưu tiên Hỏa táo thấp,110,

DT020,Tòng cách,Tòng Cách,Tòng Vượng,Thuận theo thế vượng,130,Ghi đè quy tắc thông thường
DT021,Tòng cách,Tòng Cách,Tòng Nhược,Thuận theo thế nhược,130,
DT022,Tòng cách,Tòng Cách,Tòng Tài,Thuận theo Tài tinh,130,
DT023,Tòng cách,Tòng Cách,Tòng Sát,Thuận theo Sát tinh,130,
DT024,Tòng cách,Tòng Cách,Tòng Ấn,Thuận theo Ấn tinh,130,

DT025,Hóa khí,Hóa Khí,Có,Ưu tiên hành sau Hóa Khí,125,Áp dụng khi Hóa thành công

DT026,Ngũ hành,Ngũ Hành,Mất cân bằng,Tăng hành thiếu,90,
DT027,Ngũ hành,Ngũ Hành,Quá vượng,Giảm hành quá mạnh,90,

DT028,Thông căn,Thông Căn,Có,Tăng giá trị hành có căn,70,
DT029,Thông căn,Thông Căn,Không,Giảm giá trị hành không căn,70,

DT030,Thấu can,Thấu Can,Có,Tăng giá trị hành thấu can,70,
DT031,Thấu can,Thấu Can,Không,Giảm giá trị hành không thấu,70,

DT032,Hợp hóa,Hợp Hóa,Thành công,Ưu tiên hành hóa thành,100,
DT033,Hợp hóa,Hợp Hóa,Không thành,Bỏ qua tác động hóa,60,

DT034,Xung hình hại,Xung,Có,Giảm giá trị hành bị xung,80,
DT035,Xung hình hại,Hình,Có,Giảm giá trị hành bị hình,70,
DT036,Xung hình hại,Hại,Có,Giảm giá trị hành bị hại,70,
DT037,Xung hình hại,Phá,Có,Giảm giá trị hành bị phá,70,

DT038,Đại vận,Đại Vận,Hỗ trợ,Tăng ưu tiên hành hỗ trợ,85,
DT039,Đại vận,Đại Vận,Cản trở,Giảm ưu tiên hành bị cản,85,

DT040,Tổng hợp,Kết luận,Nhiều quy tắc cùng xác nhận,Chọn hành có tổng điểm cao nhất,999,Quy tắc kết luận cuối cùng
