priority_id,nhom_quy_tac,doi_tuong,muc_uu_tien,ghi_chu

UT001,Tòng Cách,Tòng Vượng,1000,Tòng Cách ưu tiên cao nhất
UT002,Tòng Cách,Tòng Nhược,1000,
UT003,Tòng Cách,Tòng Tài,1000,
UT004,Tòng Cách,Tòng Sát,1000,
UT005,Tòng Cách,Tòng Ấn,1000,

UT006,Hóa Khí,Hóa Khí thành công,950,Hóa Khí ghi đè quy tắc thông thường

UT007,Điều Hậu,Hàn,900,Ưu tiên Điều Hậu
UT008,Điều Hậu,Nhiệt,900,
UT009,Điều Hậu,Táo,900,
UT010,Điều Hậu,Thấp,900,

UT011,Cách Cục,Thành Cách,850,Giữ Cách trước
UT012,Cách Cục,Biến Cách,820,
UT013,Cách Cục,Phá Cách,300,

UT014,Thân Vượng Nhược,Thân Nhược,800,
UT015,Thân Vượng Nhược,Thân Vượng,800,
UT016,Thân Vượng Nhược,Trung Hòa,780,

UT017,Thông Căn,Có căn,720,
UT018,Thấu Can,Thấu Can,710,

UT019,Ngũ Hành,Cân bằng Ngũ Hành,650,

UT020,Đại Vận,Hỗ trợ Dụng Thần,600,
UT021,Lưu Niên,Hỗ trợ Dụng Thần,550
