camky_id,doi_tuong,dieu_kien,hanh_dong,muc_do,ghi_chu

CK001,Tòng Vượng,Dùng hành khắc Nhật Chủ,Cấm,Rất cao
CK002,Tòng Nhược,Dùng hành sinh Nhật Chủ,Cấm,Rất cao
CK003,Hóa Khí,Hành trước khi hóa,Cấm,Cao
CK004,Phá Cách,Tiếp tục giữ Cách,Cấm,Cao

CK005,Thân Nhược,Dùng hành tiết Nhật Chủ,Hạn chế,Cao
CK006,Thân Nhược,Dùng hành khắc Nhật Chủ,Hạn chế,Cao

CK007,Thân Vượng,Dùng thêm hành sinh Nhật Chủ,Hạn chế,Cao

CK008,Hàn,Dùng thêm Thủy,Hạn chế,Cao
CK009,Nhiệt,Dùng thêm Hỏa,Hạn chế,Cao

CK010,Táo,Dùng thêm Kim,Hạn chế,Trung bình
CK011,Thấp,Dùng thêm Thủy,Hạn chế,Trung bình

CK012,Quan Cách,Dùng Thương Quan,Hạn chế,Cao
CK013,Thực Thần,Dùng Kiêu Thần,Hạn chế,Cao
CK014,Tài Cách,Dùng Kiếp Tài,Hạn chế,Cao
CK015,Ấn Cách,Dùng Tài phá Ấn,Hạn chế,Cao
