dac_biet_id,truong_hop,dieu_kien,quy_tac,ghi_chu

DB001,Tòng Vượng,Đủ điều kiện Tòng,Vô hiệu quy tắc Thân Vượng thông thường
DB002,Tòng Nhược,Đủ điều kiện Tòng,Vô hiệu quy tắc Thân Nhược thông thường
DB003,Tòng Tài,Tài cực vượng,Thuận theo Tài
DB004,Tòng Sát,Sát cực vượng,Thuận theo Sát
DB005,Tòng Ấn,Ấn cực vượng,Thuận theo Ấn

DB006,Hóa Khí,Hóa thành công,Ưu tiên hành sau Hóa

DB007,Khúc Trực,Mộc thuần khí,Dùng Mộc

DB008,Viêm Thượng,Hỏa thuần khí,Dùng Hỏa

DB009,Giá Sắc,Thổ thuần khí,Dùng Thổ

DB010,Nhuận Hạ,Thủy thuần khí,Dùng Thủy

DB011,Kim Bạch,Kim thuần khí,Dùng Kim
