thu_tu,buoc,du_lieu_su_dung,ket_qua

1,Xác định Nhật Chủ,01_nhat_chu,Nhật Chủ

2,Tính Thân Vượng Nhược,03_than_vuong_nhuoc,Thân

3,Xác định Cách Cục,04_cach_cuc,Cách Cục

4,Kiểm tra Điều Hậu,Ngũ hành + Mùa sinh,Điều Hậu

5,Kiểm tra Tòng Cách,04_cach_cuc,Tòng

6,Kiểm tra Hóa Khí,04_cach_cuc,Hóa Khí

7,Áp dụng Điều kiện chọn,02_dieu_kien_chon,Điểm Rule

8,Áp dụng Ưu tiên,03_uu_tien_dung_than,Cộng điểm

9,Áp dụng Cấm Kỵ,04_cam_ky,Trừ điểm

10,Áp dụng Trường hợp đặc biệt,05_truong_hop_dac_biet,Ghi đè Rule

11,Tổng hợp điểm,07_diem_dung_than,Tổng điểm

12,Kết luận,Dữ liệu tổng hợp,Dụng Thần
