rule_tren,rule_duoi,muc_uu_tien,hanh_dong,dieu_kien,ly_do,trang_thai,phien_ban,ghi_chu
TC001,DH001,120,override,,Tòng cách ghi đè Điều Hậu,active,1.0,
TC001,DH002,120,override,,Tòng cách ghi đè Điều Hậu,active,1.0,
TC001,TV001,120,override,,Tòng cách ghi đè Thân vượng nhược,active,1.0,
TC001,TV002,120,override,,Tòng cách ghi đè Thân vượng nhược,active,1.0,
DH001,TV001,100,override,,Điều Hậu ưu tiên hơn Thân vượng nhược,active,1.0,
DH001,TV002,100,override,,Điều Hậu ưu tiên hơn Thân vượng nhược,active,1.0,
DH002,TV001,100,override,,Điều Hậu ưu tiên hơn Thân vượng nhược,active,1.0,
DH002,TV002,100,override,,Điều Hậu ưu tiên hơn Thân vượng nhược,active,1.0,
CC001,TV001,90,merge,,Cách cục kết hợp với đánh giá thân vượng nhược,active,1.0,
CC001,TV002,90,merge,,Cách cục kết hợp với đánh giá thân vượng nhược,active,1.0,
CC001,DH001,90,append,,Điều Hậu vẫn được giữ để giải thích kết quả,active,1.0,
CC001,DH002,90,append,,Điều Hậu vẫn được giữ để giải thích kết quả,active,1.0,
