rule_id,nhom_rule,dung_than,dieu_kien,hy_than,muc_do_uu_tien,giai_thich,trang_thai,phien_ban,ghi_chu
HT001,hy_than,Mộc,mac_dinh,Thủy,100,Thủy sinh Mộc nên là Hỷ Thần ưu tiên,active,1.0,
HT002,hy_than,Hỏa,mac_dinh,Mộc,100,Mộc sinh Hỏa nên là Hỷ Thần ưu tiên,active,1.0,
HT003,hy_than,Thổ,mac_dinh,Hỏa,100,Hỏa sinh Thổ nên là Hỷ Thần ưu tiên,active,1.0,
HT004,hy_than,Kim,mac_dinh,Thổ,100,Thổ sinh Kim nên là Hỷ Thần ưu tiên,active,1.0,
HT005,hy_than,Thủy,mac_dinh,Kim,100,Kim sinh Thủy nên là Hỷ Thần ưu tiên,active,1.0,
HT006,hy_than,Mộc,than_nhuoc,Mộc,95,Đồng hành giúp tăng lực Nhật Chủ,active,1.0,
HT007,hy_than,Hỏa,than_nhuoc,Hỏa,95,Đồng hành giúp tăng lực Nhật Chủ,active,1.0,
HT008,hy_than,Thổ,than_nhuoc,Thổ,95,Đồng hành giúp tăng lực Nhật Chủ,active,1.0,
HT009,hy_than,Kim,than_nhuoc,Kim,95,Đồng hành giúp tăng lực Nhật Chủ,active,1.0,
HT010,hy_than,Thủy,than_nhuoc,Thủy,95,Đồng hành giúp tăng lực Nhật Chủ,active,1.0,
