rule_id,nhom_rule,dung_than,dieu_kien,ky_than,muc_do_uu_tien,loai_quan_he,trang_thai,phien_ban,ghi_chu
KT001,ky_than,Mộc,mac_dinh,Kim,100,khac,active,1.0,
KT002,ky_than,Hỏa,mac_dinh,Thủy,100,khac,active,1.0,
KT003,ky_than,Thổ,mac_dinh,Mộc,100,khac,active,1.0,
KT004,ky_than,Kim,mac_dinh,Hỏa,100,khac,active,1.0,
KT005,ky_than,Thủy,mac_dinh,Thổ,100,khac,active,1.0,
KT006,ky_than,Mộc,than_vuong,Mộc,95,dong_hanh,active,1.0,
KT007,ky_than,Hỏa,than_vuong,Hỏa,95,dong_hanh,active,1.0,
KT008,ky_than,Thổ,than_vuong,Thổ,95,dong_hanh,active,1.0,
KT009,ky_than,Kim,than_vuong,Kim,95,dong_hanh,active,1.0,
KT010,ky_than,Thủy,than_vuong,Thủy,95,dong_hanh,active,1.0,
KT011,ky_than,Mộc,dieu_hau,Mộc,90,ngoai_le,active,1.0,
KT012,ky_than,Hỏa,dieu_hau,Hỏa,90,ngoai_le,active,1.0,
KT013,ky_than,Thổ,dieu_hau,Thổ,90,ngoai_le,active,1.0,
KT014,ky_than,Kim,dieu_hau,Kim,90,ngoai_le,active,1.0,
KT015,ky_than,Thủy,dieu_hau,Thủy,90,ngoai_le,active,1.0,
