rule_id,nhom_rule,dung_than,hanh,loai_bo_tro,muc_do,uu_tien,trang_thai,phien_ban,ghi_chu
BT001,bo_tro,Mộc,Thủy,tang,100,1,active,1.0,
BT002,bo_tro,Mộc,Mộc,tang,95,2,active,1.0,
BT003,bo_tro,Mộc,Kim,giam,100,1,active,1.0,
BT004,bo_tro,Mộc,Thổ,giam,80,2,active,1.0,
BT005,bo_tro,Hỏa,Mộc,tang,100,1,active,1.0,
BT006,bo_tro,Hỏa,Hỏa,tang,95,2,active,1.0,
BT007,bo_tro,Hỏa,Thủy,giam,100,1,active,1.0,
BT008,bo_tro,Hỏa,Kim,giam,80,2,active,1.0,
BT009,bo_tro,Thổ,Hỏa,tang,100,1,active,1.0,
BT010,bo_tro,Thổ,Thổ,tang,95,2,active,1.0,
BT011,bo_tro,Thổ,Mộc,giam,100,1,active,1.0,
BT012,bo_tro,Thổ,Thủy,giam,80,2,active,1.0,
BT013,bo_tro,Kim,Thổ,tang,100,1,active,1.0,
BT014,bo_tro,Kim,Kim,tang,95,2,active,1.0,
BT015,bo_tro,Kim,Hỏa,giam,100,1,active,1.0,
BT016,bo_tro,Kim,Mộc,giam,80,2,active,1.0,
BT017,bo_tro,Thủy,Kim,tang,100,1,active,1.0,
BT018,bo_tro,Thủy,Thủy,tang,95,2,active,1.0,
BT019,bo_tro,Thủy,Thổ,giam,100,1,active,1.0,
BT020,bo_tro,Thủy,Hỏa,giam,80,2,active,1.0,
