rule_id,huong_dai_van,buoc,thao_tac,doi_tuong,mo_ta,trang_thai,phien_ban,ghi_chu
DV001,Thuan,1,Tang,Can,Thiên Can tiến 1 bậc theo chu kỳ 10 Can,active,1.0,
DV002,Thuan,1,Tang,Chi,Địa Chi tiến 1 bậc theo chu kỳ 12 Chi,active,1.0,
DV003,Nghich,1,Giam,Can,Thiên Can lùi 1 bậc theo chu kỳ 10 Can,active,1.0,
DV004,Nghich,1,Giam,Chi,Địa Chi lùi 1 bậc theo chu kỳ 12 Chi,active,1.0,
DV005,Thuan,10,Lap_lai,ChuKy,Mỗi Đại vận kéo dài 10 năm,active,1.0,
DV006,Nghich,10,Lap_lai,ChuKy,Mỗi Đại vận kéo dài 10 năm,active,1.0,
DV007,Tat_ca,1,SuDung,TruThang,Lấy trụ tháng làm điểm xuất phát của Đại vận,active,1.0,
DV008,Tat_ca,1,Sinh,DaiVan1,Sinh Đại vận thứ nhất sau tuổi khởi vận,active,1.0,
DV009,Tat_ca,2,Sinh,DaiVan2,Sinh Đại vận thứ hai,active,1.0,
DV010,Tat_ca,3,Sinh,DaiVan3,Sinh Đại vận thứ ba,active,1.0,
DV011,Tat_ca,4,Sinh,DaiVan4,Sinh Đại vận thứ tư,active,1.0,
DV012,Tat_ca,5,Sinh,DaiVan5,Sinh Đại vận thứ năm,active,1.0,
DV013,Tat_ca,6,Sinh,DaiVan6,Sinh Đại vận thứ sáu,active,1.0,
DV014,Tat_ca,7,Sinh,DaiVan7,Sinh Đại vận thứ bảy,active,1.0,
DV015,Tat_ca,8,Sinh,DaiVan8,Sinh Đại vận thứ tám,active,1.0,
DV016,Tat_ca,9,Sinh,DaiVan9,Sinh Đại vận thứ chín,active,1.0,
DV017,Tat_ca,10,Sinh,DaiVan10,Sinh Đại vận thứ mười,active,1.0,
DV018,Tat_ca,11,Sinh,DaiVan11,Sinh Đại vận thứ mười một,active,1.0,
DV019,Tat_ca,12,Sinh,DaiVan12,Sinh Đại vận thứ mười hai,active,1.0,
