rule_id,rule_nhom,dieu_kien,ket_qua,diem,phan_loai,trang_thai,phien_ban,ghi_chu
DG001,danh_gia,Gặp_Dụng_Thần,RatTot,30,Cat,active,1.0,
DG002,danh_gia,Gặp_Hỷ_Thần,Tot,20,Cat,active,1.0,
DG003,danh_gia,Gặp_Kỵ_Thần,Xau,-25,Hung,active,1.0,
DG004,danh_gia,Xung_Menh,Xau,-20,Hung,active,1.0,
DG005,danh_gia,Hop_Menh,Tot,15,Cat,active,1.0,
DG006,danh_gia,TamHop,RatTot,20,Cat,active,1.0,
DG007,danh_gia,LucHop,Tot,10,Cat,active,1.0,
DG008,danh_gia,LucXung,Xau,-15,Hung,active,1.0,
DG009,danh_gia,HinhHai,Pha,-10,Hung,active,1.0,
DG010,danh_gia,KhongCo,TrungBinh,0,BinhHoa,active,1.0,
