rule_id,than_sat,dieu_kien_1,nguon_1,dieu_kien_2,nguon_2,phuong_phap,file_lookup,uu_tien,trang_thai,ghi_chu
RKH001,Thiên Ất Quý Nhân,Thiên Can Nhật Chủ,Nhat_Chu,,,Tra cứu Lookup,lookup/bang_thien_at.csv,100,ACTIVE,Tra theo Thiên Can Nhật Chủ
RKH002,Văn Xương,Thiên Can Nhật Chủ,Nhat_Chu,,,Tra cứu Lookup,lookup/bang_van_xuong.csv,95,ACTIVE,Tra theo Thiên Can Nhật Chủ
RKH003,Quốc Ấn,Thiên Can Nhật Chủ,Nhat_Chu,,,Tra cứu Lookup,lookup/bang_quoc_an.csv,95,ACTIVE,Tra theo Thiên Can Nhật Chủ
RKH004,Lộc Thần,Thiên Can Nhật Chủ,Nhat_Chu,,,Tra cứu Lookup,lookup/bang_loc_than.csv,95,ACTIVE,Tra theo Thiên Can Nhật Chủ
RKH005,Hồng Loan,Địa Chi Năm,Nam_Chi,,,Tra cứu Lookup,lookup/bang_hong_loan.csv,90,ACTIVE,Tra theo Địa Chi Năm
RKH006,Thiên Hỷ,Địa Chi Năm,Nam_Chi,,,Tra cứu Lookup,lookup/bang_thien_hy.csv,90,ACTIVE,Tra theo Địa Chi Năm
RKH007,Đào Hoa,Tam Hợp Cục,Tam_Hop,,,Tra cứu Lookup,lookup/bang_dao_hoa.csv,90,ACTIVE,Tra theo Tam Hợp Cục
RKH008,Hàm Trì,Tam Hợp Cục,Tam_Hop,,,Tra cứu Lookup,lookup/bang_ham_tri.csv,85,ACTIVE,Tra theo Tam Hợp Cục
RKH009,Dịch Mã,Tam Hợp Cục,Tam_Hop,,,Tra cứu Lookup,lookup/bang_dich_ma.csv,90,ACTIVE,Tra theo Tam Hợp Cục
RKH010,Hoa Cái,Tam Hợp Cục,Tam_Hop,,,Tra cứu Lookup,lookup/bang_hoa_cai.csv,85,ACTIVE,Tra theo Tam Hợp Cục
RKH011,Cô Thần,Địa Chi Năm,Nam_Chi,,,Tra cứu Lookup,lookup/bang_co_than.csv,95,ACTIVE,Tra theo Địa Chi Năm
RKH012,Quả Tú,Địa Chi Năm,Nam_Chi,,,Tra cứu Lookup,lookup/bang_qua_tu.csv,95,ACTIVE,Tra theo Địa Chi Năm
RKH013,Kiếp Sát,Tam Hợp Cục,Tam_Hop,,,Tra cứu Lookup,lookup/bang_kiep_sat.csv,90,ACTIVE,Tra theo Tam Hợp Cục
RKH014,Tai Sát,Địa Chi Năm,Nam_Chi,,,Tra cứu Lookup,lookup/bang_tai_sat.csv,90,PENDING,Chưa hoàn thiện dữ liệu Lookup
RKH015,Bạch Hổ,Tam Hợp Cục,Tam_Hop,,,Tra cứu Lookup,lookup/bang_bach_ho.csv,90,ACTIVE,Tra theo Tam Hợp Cục
RKH016,Thiên Đức,Thiên Can Nhật Chủ,Nhat_Chu,,,Tra cứu Lookup,lookup/bang_thien_duc.csv,95,PENDING,Chưa hoàn thiện dữ liệu Lookup
RKH017,Nguyệt Đức,Thiên Can Nhật Chủ,Nhat_Chu,,,Tra cứu Lookup,lookup/bang_nguyet_duc.csv,95,PENDING,Chưa hoàn thiện dữ liệu Lookup
RKH018,Long Đức,Địa Chi Năm,Nam_Chi,,,Tra cứu Lookup,lookup/bang_long_duc.csv,90,PENDING,Chưa hoàn thiện dữ liệu Lookup
RKH019,Thiên Khốc,Địa Chi Năm,Nam_Chi,,,Tra cứu Lookup,lookup/bang_thien_khoc.csv,80,ACTIVE,Tra theo Địa Chi Năm
RKH020,Thiên Hư,Địa Chi Năm,Nam_Chi,,,Tra cứu Lookup,lookup/bang_thien_hu.csv,80,ACTIVE,Tra theo Địa Chi Năm
