rule_id,than_sat_1,than_sat_2,quan_he,ket_qua,he_so,uu_tien,ghi_chu
XD001,Hồng Loan,Cô Thần,Triệt tiêu,Giảm tác dụng Hồng Loan,-0.50,100,Hôn nhân giảm cát
XD002,Hồng Loan,Quả Tú,Triệt tiêu,Giảm tác dụng Hồng Loan,-0.50,100,Duyên tình trắc trở
XD003,Thiên Hỷ,Cô Thần,Triệt tiêu,Giảm hỷ khí,-0.40,95,Hỷ sự giảm
XD004,Thiên Hỷ,Quả Tú,Triệt tiêu,Giảm hỷ khí,-0.40,95,Hỷ sự giảm
XD005,Thiên Đức,Kiếp Sát,Hóa giải,Giảm hung tinh,0.60,100,Hóa giải Kiếp Sát
XD006,Nguyệt Đức,Kiếp Sát,Hóa giải,Giảm hung tinh,0.60,100,Hóa giải Kiếp Sát
XD007,Thiên Đức,Tai Sát,Hóa giải,Giảm tai họa,0.60,100,Hóa giải Tai Sát
XD008,Nguyệt Đức,Tai Sát,Hóa giải,Giảm tai họa,0.60,100,Hóa giải Tai Sát
XD009,Long Đức,Bạch Hổ,Hóa giải,Giảm thương tật,0.50,90,Giảm sát khí
XD010,Thiên Ất Quý Nhân,Kiếp Sát,Hỗ trợ,Giảm hung khí,0.40,95,Quý nhân cứu giải
XD011,Văn Xương,Hoa Cái,Tăng cường,Tăng trí tuệ,0.20,80,Nghiên cứu mạnh
XD012,Hồng Loan,Thiên Hỷ,Tăng cường,Tăng cát khí hôn nhân,0.30,95,Rất tốt
XD013,Đào Hoa,Hồng Loan,Tăng cường,Tăng sức hút,0.20,80,Đào hoa mạnh
XD014,Lộc Thần,Quốc Ấn,Tăng cường,Tăng công danh tài vận,0.20,80,Hỗ trợ nhau
XD015,Cô Thần,Quả Tú,Tăng cường,Tăng cô độc,-0.30,100,Hung mạnh hơn
XD016,Bạch Hổ,Kiếp Sát,Tăng cường,Tăng nguy cơ tai nạn,-0.30,100,Rất hung
