id,gia_tri_nguon,gia_tri_ket_qua,doi_tuong_tra,truong_phai,ghi_chu
THU001,Tý,Ngọ,Chi_Nam,Tu_Binh,Phien_ban_v1
THU002,Sửu,Mùi,Chi_Nam,Tu_Binh,Phien_ban_v1
THU003,Dần,Thân,Chi_Nam,Tu_Binh,Phien_ban_v1
THU004,Mão,Dậu,Chi_Nam,Tu_Binh,Phien_ban_v1
THU005,Thìn,Tuất,Chi_Nam,Tu_Binh,Phien_ban_v1
THU006,Tỵ,Hợi,Chi_Nam,Tu_Binh,Phien_ban_v1
THU007,Ngọ,Tý,Chi_Nam,Tu_Binh,Phien_ban_v1
THU008,Mùi,Sửu,Chi_Nam,Tu_Binh,Phien_ban_v1
THU009,Thân,Dần,Chi_Nam,Tu_Binh,Phien_ban_v1
THU010,Dậu,Mão,Chi_Nam,Tu_Binh,Phien_ban_v1
THU011,Tuất,Thìn,Chi_Nam,Tu_Binh,Phien_ban_v1
THU012,Hợi,Tỵ,Chi_Nam,Tu_Binh,Phien_ban_v1
