id,gia_tri_nguon,gia_tri_ket_qua,doi_tuong_tra,truong_phai,ghi_chu
TK001,Tý,Ngọ,Chi_Nam,Tu_Binh,Phien_ban_v1
TK002,Sửu,Mùi,Chi_Nam,Tu_Binh,Phien_ban_v1
TK003,Dần,Thân,Chi_Nam,Tu_Binh,Phien_ban_v1
TK004,Mão,Dậu,Chi_Nam,Tu_Binh,Phien_ban_v1
TK005,Thìn,Tuất,Chi_Nam,Tu_Binh,Phien_ban_v1
TK006,Tỵ,Hợi,Chi_Nam,Tu_Binh,Phien_ban_v1
TK007,Ngọ,Tý,Chi_Nam,Tu_Binh,Phien_ban_v1
TK008,Mùi,Sửu,Chi_Nam,Tu_Binh,Phien_ban_v1
TK009,Thân,Dần,Chi_Nam,Tu_Binh,Phien_ban_v1
TK010,Dậu,Mão,Chi_Nam,Tu_Binh,Phien_ban_v1
TK011,Tuất,Thìn,Chi_Nam,Tu_Binh,Phien_ban_v1
TK012,Hợi,Tỵ,Chi_Nam,Tu_Binh,Phien_ban_v1
