id,chi_so,nhom,nguon_du_lieu,muc_do,co_tinh_diem,ghi_chu
HM001,Phối Ngẫu Tinh,Cốt lõi,03_thap_than,Rất Cao,TRUE,Nam xét Tài tinh - Nữ xét Quan tinh
HM002,Cung Phu Thê,Cốt lõi,Trụ Ngày,Rất Cao,TRUE,Nhật Chi
HM003,Nhật Chủ,Cốt lõi,03_thap_than,Cao,TRUE,Đánh giá phối hợp
HM004,Thân Vượng Thân Nhược,Nền tảng,05_dung_than,Cao,TRUE,Ảnh hưởng hôn nhân
HM005,Dụng Thần,Nền tảng,05_dung_than,Cao,TRUE,Hỗ trợ hôn nhân
HM006,Hỷ Thần,Nền tảng,05_dung_than,Trung Bình,TRUE,Tăng cát khí
HM007,Kỵ Thần,Nền tảng,05_dung_than,Trung Bình,TRUE,Tăng hung khí
HM008,Hồng Loan,Cát tinh,08_than_sat,Cao,TRUE,Duyên tình
HM009,Thiên Hỷ,Cát tinh,08_than_sat,Cao,TRUE,Hỷ sự
HM010,Đào Hoa,Cát tinh,08_than_sat,Trung Bình,TRUE,Sức hút
HM011,Hàm Trì,Cát tinh,08_than_sat,Thấp,TRUE,Tình cảm
HM012,Cô Thần,Hung tinh,08_than_sat,Cao,TRUE,Cô độc
HM013,Quả Tú,Hung tinh,08_than_sat,Cao,TRUE,Duyên muộn
HM014,Dịch Mã,Biến động,08_than_sat,Trung Bình,TRUE,Hôn nhân xa
HM015,Hoa Cái,Cá tính,08_than_sat,Thấp,TRUE,Nội tâm
HM016,Tỷ Kiếp,Cạnh tranh,03_thap_than,Cao,TRUE,Tranh phối ngẫu
HM017,Quan Sát Hỗn Tạp,Hung,03_thap_than,Cao,TRUE,Nữ mệnh
HM018,Tài Tinh Hỗn Tạp,Hung,03_thap_than,Cao,TRUE,Nam mệnh
HM019,Xung Cung Phu Thê,Hung,02_quan_he,Rất Cao,TRUE,Xung Nhật Chi
HM020,Hợp Cung Phu Thê,Cát,02_quan_he,Cao,TRUE,Hợp Nhật Chi
