rule_id,doi_tuong_1,doi_tuong_2,loai_xung_dot,he_so,ghi_chu
XD001,Hồng Loan,Cô Thần,Triệt Tiêu,-0.50,Hồng Loan giảm 50%
XD002,Hồng Loan,Quả Tú,Triệt Tiêu,-0.50,Hồng Loan giảm
XD003,Thiên Hỷ,Cô Thần,Triệt Tiêu,-0.40,Hỷ giảm
XD004,Thiên Hỷ,Quả Tú,Triệt Tiêu,-0.40,Hỷ giảm
XD005,Hợp Cung Phu Thê,Xung Cung Phu Thê,Cạnh Tranh,-0.60,Xung ưu tiên
XD006,Dụng Thần,Kỵ Thần,Cân Bằng,-0.30,Đánh giá tổng hợp
XD007,Chính Quan,Quan Sát Hỗn Tạp,Triệt Tiêu,-0.40,Nữ mệnh
XD008,Chính Tài,Tài Tinh Hỗn Tạp,Triệt Tiêu,-0.40,Nam mệnh
XD009,Hồng Loan,Thiên Hỷ,Tăng Cường,0.30,Cát tăng
XD010,Hợp Cung Phu Thê,Hồng Loan,Tăng Cường,0.20,Hôn nhân đẹp
