rule_id,than_sat,dieu_kien_1,nguon_1,dieu_kien_2,nguon_2,phuong_phap,tham_chieu,uu_tien,ghi_chu
RKH001,Thiên Ất Quý Nhân,Thiên Can Nhật Chủ,Nhat_Chu,,,"Tra bảng Thiên Ất",BANG_THIEN_AT,100,Quý nhân quan trọng nhất
RKH002,Văn Xương,Thiên Can Nhật Chủ,Nhat_Chu,,,"Tra bảng Văn Xương",BANG_VAN_XUONG,95,Học vấn văn chương
RKH003,Quốc Ấn,Thiên Can Nhật Chủ,Nhat_Chu,,,"Tra bảng Quốc Ấn",BANG_QUOC_AN,95,Quan chức quyền lực
RKH004,Lộc Thần,Thiên Can Nhật Chủ,Nhat_Chu,,,"Tra bảng Lộc Thần",BANG_LOC_THAN,95,Tài lộc
RKH005,Hồng Loan,Địa Chi Năm,Nam_Chi,,,"Tra bảng Hồng Loan",BANG_HONG_LOAN,90,Hôn nhân
RKH006,Thiên Hỷ,Địa Chi Năm,Nam_Chi,,,"Tra bảng Thiên Hỷ",BANG_THIEN_HY,90,Hỷ sự
RKH007,Đào Hoa,Địa Chi Năm,Nam_Chi,,,"Tra bảng Đào Hoa",BANG_DAO_HOA,90,Đào hoa
RKH008,Hàm Trì,Địa Chi Năm,Nam_Chi,,,"Tra bảng Hàm Trì",BANG_HAM_TRI,85,Đào hoa phụ
RKH009,Dịch Mã,Địa Chi Năm,Nam_Chi,,,"Tra bảng Dịch Mã",BANG_DICH_MA,90,Di chuyển
RKH010,Hoa Cái,Địa Chi Năm,Nam_Chi,,,"Tra bảng Hoa Cái",BANG_HOA_CAI,85,Nghệ thuật
RKH011,Cô Thần,Địa Chi Năm,Nam_Chi,,,"Tra bảng Cô Thần",BANG_CO_THAN,95,Cô độc
RKH012,Quả Tú,Địa Chi Năm,Nam_Chi,,,"Tra bảng Quả Tú",BANG_QUA_TU,95,Cô độc
RKH013,Kiếp Sát,Địa Chi Năm,Nam_Chi,,,"Tra bảng Kiếp Sát",BANG_KIEP_SAT,90,Hung sát
RKH014,Tai Sát,Địa Chi Năm,Nam_Chi,,,"Tra bảng Tai Sát",BANG_TAI_SAT,90,Tai họa
RKH015,Bạch Hổ,Địa Chi Năm,Nam_Chi,,,"Tra bảng Bạch Hổ",BANG_BACH_HO,90,Thương tật
RKH016,Thiên Đức,Thiên Can Nhật Chủ,Nhat_Chu,,,"Tra bảng Thiên Đức",BANG_THIEN_DUC,95,Hóa giải
RKH017,Nguyệt Đức,Thiên Can Nhật Chủ,Nhat_Chu,,,"Tra bảng Nguyệt Đức",BANG_NGUYET_DUC,95,Hóa giải
RKH018,Long Đức,Địa Chi Năm,Nam_Chi,,,"Tra bảng Long Đức",BANG_LONG_DUC,90,Phúc khí
RKH019,Thiên Khốc,Địa Chi Năm,Nam_Chi,,,"Tra bảng Thiên Khốc",BANG_THIEN_KHOC,80,Tâm lý
RKH020,Thiên Hư,Địa Chi Năm,Nam_Chi,,,"Tra bảng Thiên Hư",BANG_THIEN_HU,80,Tâm lý
