rule_id,than_sat_id,muc_do,diem_cong,dieu_kien_bo_sung,pham_vi,ghi_chu
RC001,TS001,RatTot,10,,TongQuat,Thiên Ất Quý Nhân
RC002,TS002,RatTot,8,,TongQuat,Thiên Đức
RC003,TS003,RatTot,8,,TongQuat,Nguyệt Đức
RC004,TS006,Tot,7,,QuanLoc,Thiên Quan Quý Nhân
RC005,TS007,Tot,7,,TongQuat,Phúc Tinh Quý Nhân
RC006,TS008,RatTot,9,,TongQuat,Thái Cực Quý Nhân
RC007,TS009,RatTot,9,,TongQuat,Tam Kỳ Quý Nhân
RC008,TS011,Tot,7,,TaiLoc,Lộc Thần
RC009,TS013,RatTot,8,,QuanLoc,Quốc Ấn
RC010,TS016,RatTot,8,,HocVan,Văn Xương
RC011,TS018,Tot,7,,SucKhoe,Thiên Y
RC012,TS019,Tot,6,,TamLinh,Hoa Cái
RC013,TS020,Tot,6,,DiChuyen,Dịch Mã
RC014,TS022,Tot,6,,HonNhan,Hồng Loan
RC015,TS023,Tot,6,,HonNhan,Thiên Hỷ
