rule_id,than_sat_id,muc_do,diem_tru,dieu_kien_bo_sung,pham_vi,ghi_chu
RH001,TS021,Nang,-8,,HonNhan,Cô Thần
RH002,TS022,Nang,-8,,HonNhan,Quả Tú
RH003,TS024,TrungBinh,-5,,TinhCam,Hàm Trì
RH004,TS025,TrungBinh,-6,,TinhCam,Hồng Diễm
RH005,TS026,Nang,-9,,TongQuat,Kiếp Sát
RH006,TS027,Nang,-8,,SucKhoe,Bạch Hổ
RH007,TS028,Nang,-7,,GiaDao,Tang Môn
RH008,TS029,TrungBinh,-5,,GiaoTiep,Điếu Khách
RH009,TS030,RatNang,-10,,TongQuat,Thiên La
RH010,TS031,RatNang,-10,,TongQuat,Địa Võng
RH011,TS032,RatNang,-9,,HonNhan,Âm Dương Sai Thác
RH012,TS033,RatNang,-10,,TongQuat,Thập Ác Đại Bại
