rule_id,dieu_kien_if,dieu_kien_and,hanh_dong_then,module_dich,diem,uu_tien,co_dung_tiep
RE001,Hồng Loan,Thiên Hỷ,Tăng điểm Hôn nhân,09_hon_nhan,40,100,TRUE
RE002,Hồng Loan,Cô Thần,Giảm điểm Hôn nhân,09_hon_nhan,-20,100,TRUE
RE003,Hồng Loan,Quả Tú,Giảm điểm Hôn nhân,09_hon_nhan,-20,100,TRUE
RE004,Văn Xương,Quốc Ấn,Tăng điểm Công danh,11_su_nghiep,40,95,TRUE
RE005,Lộc Thần,Thiên Ất Quý Nhân,Tăng điểm Tài vận,10_tai_van,40,95,TRUE
RE006,Dịch Mã,Lộc Thần,Tăng điểm Kinh doanh,10_tai_van,30,90,TRUE
RE007,Dịch Mã,Kiếp Sát,Cảnh báo Đi xa,10_tai_van,-20,90,TRUE
RE008,Cô Thần,Quả Tú,Cảnh báo Hôn nhân,09_hon_nhan,-40,100,TRUE
RE009,Thiên Đức,Kiếp Sát,Hóa giải Hung tinh,08_than_sat,20,100,TRUE
RE010,Nguyệt Đức,Tai Sát,Hóa giải Tai họa,08_than_sat,20,100,TRUE
RE011,Long Đức,Bạch Hổ,Giảm Hung khí,08_than_sat,15,90,TRUE
RE012,Thiên Ất Quý Nhân,Thiên Đức,Tăng Quý nhân,08_than_sat,30,95,TRUE
RE013,Thiên Ất Quý Nhân,Nguyệt Đức,Tăng Quý nhân,08_than_sat,30,95,TRUE
RE014,Đào Hoa,Hồng Loan,Tăng Đào hoa,09_hon_nhan,25,85,TRUE
RE015,Hoa Cái,Văn Xương,Tăng Học thuật,11_su_nghiep,20,80,TRUE
RE016,Bạch Hổ,Kiếp Sát,Cảnh báo Tai nạn,12_suc_khoe,-40,100,TRUE
RE017,Có từ 3 Hung tinh trở lên,,Kích hoạt Cảnh báo Hung tổng hợp,08_than_sat,-50,100,TRUE
RE018,Có từ 3 Cát tinh trở lên,,Kích hoạt Cát tổng hợp,08_than_sat,50,100,TRUE
RE019,Có Cát và Hung đồng thời,,Thực hiện đánh giá cân bằng,08_than_sat,0,90,TRUE
RE020,Hoàn thành đánh giá,,Sinh báo cáo tổng hợp,REPORT,0,100,FALSE
