id,nhat_chi,dieu_kien,danh_gia,diem
PT001,Tý,Không bị xung,Tốt,10
PT002,Tý,Bị Ngọ xung,Xấu,-10
PT003,Sửu,Không bị xung,Tốt,10
PT004,Sửu,Bị Mùi xung,Xấu,-10
PT005,Dần,Không bị xung,Tốt,10
PT006,Dần,Bị Thân xung,Xấu,-10
PT007,Mão,Không bị xung,Tốt,10
PT008,Mão,Bị Dậu xung,Xấu,-10
PT009,Thìn,Không bị xung,Tốt,10
PT010,Thìn,Bị Tuất xung,Xấu,-10
PT011,Tỵ,Không bị xung,Tốt,10
PT012,Tỵ,Bị Hợi xung,Xấu,-10
PT013,Ngọ,Không bị xung,Tốt,10
PT014,Ngọ,Bị Tý xung,Xấu,-10
PT015,Mùi,Không bị xung,Tốt,10
PT016,Mùi,Bị Sửu xung,Xấu,-10
PT017,Thân,Không bị xung,Tốt,10
PT018,Thân,Bị Dần xung,Xấu,-10
PT019,Dậu,Không bị xung,Tốt,10
PT020,Dậu,Bị Mão xung,Xấu,-10
PT021,Tuất,Không bị xung,Tốt,10
PT022,Tuất,Bị Thìn xung,Xấu,-10
PT023,Hợi,Không bị xung,Tốt,10
PT024,Hợi,Bị Tỵ xung,Xấu,-10
