rule_id,chi_so,dieu_kien,diem,uu_tien,ghi_chu
DG001,Phối Ngẫu Tinh,Có Chính Tài hoặc Chính Quan,25,100,Chỉ số quan trọng nhất
DG002,Cung Phu Thê,Không bị xung,20,100,Cung ổn định
DG003,Dụng Thần,Hỗ trợ Cung Phu Thê,15,95,Hỗ trợ hôn nhân
DG004,Hồng Loan,Kích hoạt,15,90,Tăng duyên
DG005,Thiên Hỷ,Kích hoạt,15,90,Tăng hỷ sự
DG006,Đào Hoa,Kích hoạt,10,80,Tăng sức hút
DG007,Dịch Mã,Kích hoạt,5,70,Có duyên xa
DG008,Cô Thần,Kích hoạt,-20,100,Giảm điểm
DG009,Quả Tú,Kích hoạt,-20,100,Giảm điểm
DG010,Xung Cung Phu Thê,Có,-30,100,Rất bất lợi
DG011,Tỷ Kiếp Quá Vượng,Có,-15,90,Cạnh tranh
DG012,Quan Sát Hỗn Tạp,Có,-20,90,Nữ mệnh
DG013,Tài Tinh Hỗn Tạp,Có,-20,90,Nam mệnh
DG014,Hợp Cung Phu Thê,Có,20,90,Tăng ổn định
DG015,Thân Vượng + Dụng Thần Đắc Lực,Có,15,85,Hôn nhân ổn định
