score_id,nhom,chi_tieu,dieu_kien,diem,xep_loai,ghi_chu
TVS001,TAI,TaiTinh,TaiTinh>=5,30,RatTot,Tài tinh cực vượng
TVS002,TAI,TaiTinh,TaiTinh=4,25,RatTot,Tài tinh rất mạnh
TVS003,TAI,TaiTinh,TaiTinh=3,20,Tot,Tài tinh mạnh
TVS004,TAI,TaiTinh,TaiTinh=2,15,Kha,Tài tinh khá
TVS005,TAI,TaiTinh,TaiTinh=1,8,TrungBinh,Tài tinh yếu
TVS006,TAI,TaiTinh,TaiTinh=0,-10,Yeu,Thiếu tài tinh

TVS007,TAI,ChinhTai,ChinhTai>=3,20,RatTot,Chính tài mạnh
TVS008,TAI,ChinhTai,ChinhTai=2,15,Tot,Chính tài khá
TVS009,TAI,ChinhTai,ChinhTai=1,8,Kha,Có chính tài
TVS010,TAI,ChinhTai,ChinhTai=0,-5,Yeu,Thiếu chính tài

TVS011,TAI,ThienTai,ThienTai>=3,20,RatTot,Thiên tài mạnh
TVS012,TAI,ThienTai,ThienTai=2,15,Tot,Thiên tài khá
TVS013,TAI,ThienTai,ThienTai=1,8,Kha,Có thiên tài
TVS014,TAI,ThienTai,ThienTai=0,-5,Yeu,Thiếu thiên tài

TVS015,TAI,DungThan,DungThan=TaiTinh,25,RatTot,Dụng thần là tài tinh
TVS016,TAI,HyThan,HyThan=TaiTinh,15,Tot,Hỷ thần hỗ trợ tài tinh
TVS017,TAI,KyThan,KyThan=TaiTinh,-20,Yeu,Kỵ thần làm hại tài tinh
TVS018,TAI,ThanVuong,ThanVuong=true,10,Tot,Thân vượng gánh được tài
TVS019,TAI,ThanNhuoc,ThanNhuoc=true,-10,Yeu,Thân nhược khó giữ tài
TVS020,TAI,TongHop,TaiTinh>QuanTinh,5,Kha,Tài tinh chiếm ưu thế

TVS021,KHO,KhoTai,KhoTai=true,25,RatTot,Có kho tài
TVS022,KHO,KhoTai,KhoTai=false,-10,Yeu,Không có kho tài
TVS023,KHO,MoKho,MoKho=true,15,Tot,Mở kho tài thành công
TVS024,KHO,MoKho,MoKho=false,-5,TrungBinh,Chưa mở kho tài
TVS025,KHO,TangTai,TangTai=true,15,Tot,Có khả năng tích trữ
TVS026,KHO,PhaKho,PhaKho=true,-20,Yeu,Kho tài bị phá
TVS027,KHO,HopKho,HopKho=true,12,Tot,Hợp kho tài
TVS028,KHO,XungKho,XungKho=true,-15,Yeu,Xung kho tài
TVS029,KHO,HinhKho,HinhKho=true,-10,Yeu,Hình kho tài
TVS030,KHO,KhoVung,KhoTai>=2,10,Kha,Có nhiều kho tài

TVS031,PHA,PhaTai,PhaTai=false,20,RatTot,Không có phá tài
TVS032,PHA,PhaTai,PhaTai=true,-30,RatYeu,Có phá tài
TVS033,PHA,KiepTai,KiepTai>=3,-20,Yeu,Kiếp tài mạnh
TVS034,PHA,TyKien,TyKien>=3,-15,Yeu,Tỷ kiên tranh tài
TVS035,PHA,ThuongQuan,ThuongQuan>=3,-10,Kha,Thương quan hao tài
TVS036,PHA,SatTinh,ThatSat>=3,-8,Kha,Sát tinh ảnh hưởng tài
TVS037,PHA,DaiVan,DaiVanPhaTai=true,-15,Yeu,Đại vận phá tài
TVS038,PHA,LuuNien,LuuNienPhaTai=true,-10,Kha,Lưu niên phá tài
TVS039,PHA,KyThan,KyThan=TaiTinh,-15,Yeu,Kỵ thần phá tài
TVS040,PHA,TongHop,PhaTai>=2,-20,RatYeu,Nhiều yếu tố phá tài

TVS041,TICH_LUY,TichLuy,TichLuy=true,20,RatTot,Có năng lực tích lũy
TVS042,TICH_LUY,TichLuy,TichLuy=false,-10,Yeu,Khó tích lũy
TVS043,TICH_LUY,ChinhTai,ChinhTai>ThienTai,10,Tot,Thu nhập ổn định
TVS044,TICH_LUY,ThienTai,ThienTai>ChinhTai,5,Kha,Thu nhập linh hoạt
TVS045,TICH_LUY,KhoTai,KhoTai=true,10,Tot,Có kho giữ tài
TVS046,TICH_LUY,DungThan,DungThan=Tho,8,Kha,Dụng thần hỗ trợ tích lũy
TVS047,TICH_LUY,QuanTinh,QuanTinh>=2,8,Kha,Thu nhập ổn định
TVS048,TICH_LUY,PhaTai,PhaTai=true,-15,Yeu,Khó giữ tiền
TVS049,TICH_LUY,DaiVan,DaiVanTot=true,10,Tot,Đại vận thuận lợi
TVS050,TICH_LUY,LuuNien,LuuNienTot=true,5,Kha,Lưu niên thuận lợi

TVS051,DAU_TU,DauTu,DauTu=true,20,RatTot,Có khả năng đầu tư
TVS052,DAU_TU,DauTu,DauTu=false,-10,Yeu,Không phù hợp đầu tư
TVS053,DAU_TU,ThienTai,ThienTai>=3,15,Tot,Thiên tài mạnh
TVS054,DAU_TU,ChinhTai,ChinhTai>=3,10,Kha,Chính tài hỗ trợ
TVS055,DAU_TU,ThanVuong,ThanVuong=true,10,Tot,Thân vượng chịu được rủi ro
TVS056,DAU_TU,ThanNhuoc,ThanNhuoc=true,-10,Yeu,Thân nhược hạn chế đầu tư
TVS057,DAU_TU,DaiVan,DaiVanTai=true,10,Tot,Đại vận tài tốt
TVS058,DAU_TU,LuuNien,LuuNienTai=true,5,Kha,Lưu niên tài tốt
TVS059,DAU_TU,PhaTai,PhaTai=true,-15,Yeu,Rủi ro đầu tư
TVS060,DAU_TU,KyThan,KyThan=TaiTinh,-10,Yeu,Kỵ thần ảnh hưởng đầu tư

TVS061,NGHE,NgheNghiep,DiemNghe>=90,30,RatTot,Nghề rất phù hợp
TVS062,NGHE,NgheNghiep,DiemNghe>=80,25,RatTot,Nghề phù hợp cao
TVS063,NGHE,NgheNghiep,DiemNghe>=70,20,Tot,Nghề phù hợp
TVS064,NGHE,NgheNghiep,DiemNghe>=60,15,Kha,Nghề khá phù hợp
TVS065,NGHE,NgheNghiep,DiemNghe>=50,10,TrungBinh,Nghề phù hợp trung bình
TVS066,NGHE,NgheNghiep,DiemNghe<50,-10,Yeu,Nghề không phù hợp

TVS067,NGHE,DungThan,DungThanHopNghe=true,15,Tot,Dụng thần hợp nghề
TVS068,NGHE,HyThan,HyThanHopNghe=true,10,Kha,Hỷ thần hỗ trợ nghề
TVS069,NGHE,KyThan,KyThanNghe=true,-15,Yeu,Kỵ thần ảnh hưởng nghề
TVS070,NGHE,DaiVan,DaiVanHopNghe=true,10,Tot,Đại vận hỗ trợ nghề
TVS071,NGHE,LuuNien,LuuNienHopNghe=true,5,Kha,Lưu niên thuận lợi
TVS072,NGHE,ThanVuong,ThanVuong=true,5,Kha,Thân vượng phát triển nghề
TVS073,NGHE,ThanNhuoc,ThanNhuoc=true,-5,TrungBinh,Thân nhược cần hỗ trợ
TVS074,NGHE,QuyNhan,QuyNhan=true,8,Tot,Có quý nhân nghề nghiệp
TVS075,NGHE,ThienMa,ThienMa=true,5,Kha,Nghề có cơ hội mở rộng
TVS076,NGHE,HoaCai,HoaCai=true,5,Kha,Phù hợp nghề sáng tạo

TVS077,TONG,TongDiem,TongDiem>=90,50,XuatSac,Tài vận xuất sắc
TVS078,TONG,TongDiem,TongDiem>=80,40,RatTot,Tài vận rất tốt
TVS079,TONG,TongDiem,TongDiem>=70,30,Tot,Tài vận tốt
TVS080,TONG,TongDiem,TongDiem>=60,20,Kha,Tài vận khá
TVS081,TONG,TongDiem,TongDiem>=50,10,TrungBinh,Tài vận trung bình
TVS082,TONG,TongDiem,TongDiem<50,-20,Yeu,Tài vận yếu
