ma_nganh,ten_nganh,ma_nhom,ten_nhom,linh_vuc,ngu_hanh,am_duong,muc_rui_ro,yeu_cau_von,yeu_cau_kinh_nghiem,thoi_gian_thu_hoi_von,tiem_nang_tang_truong,muc_do_on_dinh,cap_do_nghe,hinh_thuc_lam_viec,mo_hinh_thu_nhap,phu_hop_dung_than,phu_hop_hy_than,khong_phu_hop_ky_than,thap_than_phu_hop,chu_ky_kinh_te,loai_tai_san_lien_quan,mo_ta,ghi_chu,trang_thai
NN001,Kinh doanh đất nền,BDS,Bất động sản,Bất động sản,Tho,Duong,Cao,Rat_Cao,Cao,Dai_Han,Rat_Cao,Trung_Binh,Chu_Doanh_Nghiep,Kinh_Doanh,Loi_Nhuan,Tho,Hoa,Moc,Thien_Tai,Expansion,Bat_Dong_San,Đầu tư và kinh doanh đất nền,Ưu tiên khu vực phát triển hạ tầng,active
NN002,Kinh doanh nhà ở,BDS,Bất động sản,Bất động sản,Tho,Am,Trung_Binh,Cao,Trung_Binh,Dai_Han,Cao,Cao,Chu_Doanh_Nghiep,Kinh_Doanh,Loi_Nhuan,Tho,Hoa,Moc,Chinh_Tai,Expansion,Bat_Dong_San,Mua bán nhà ở,Phù hợp đầu tư trung dài hạn,active
NN003,Căn hộ chung cư,BDS,Bất động sản,Bất động sản,Tho,Am,Trung_Binh,Cao,Trung_Binh,Dai_Han,Cao,Cao,Nha_Dau_Tu,Dau_Tu,Cho_Thue,Tho,Hoa,Moc,Chinh_Tai,Recovery,Bat_Dong_San,Đầu tư căn hộ,Ưu tiên khu đô thị lớn,active
NN004,Bất động sản nghỉ dưỡng,BDS,Bất động sản,Du lịch,Tho,Duong,Cao,Rat_Cao,Cao,Dai_Han,Cao,Trung_Binh,Chu_Doanh_Nghiep,Kinh_Doanh,Loi_Nhuan,Tho,Hoa,Moc,Thien_Tai,Boom,Bat_Dong_San,Resort villa condotel,Phụ thuộc du lịch,active
NN005,Khu công nghiệp,BDS,Bất động sản,Công nghiệp,Tho,Duong,Cao,Rat_Cao,Cao,Dai_Han,Rat_Cao,Cao,Chu_Doanh_Nghiep,Dau_Tu,Cho_Thue,Tho,Hoa,Moc,Thien_Tai,Expansion,Bat_Dong_San,Đầu tư khu công nghiệp,Hưởng lợi FDI,active
NN006,Kho vận logistics,BDS,Bất động sản,Logistics,Tho,Duong,Trung_Binh,Cao,Trung_Binh,Dai_Han,Cao,Cao,Quan_Ly,Kinh_Doanh,Phi_Dich_Vu,Tho,Kim,Moc,Thuc_Than,Recovery,Bat_Dong_San,Kho bãi logistics,Liên kết vận tải,active
NN007,Môi giới bất động sản,BDS,Bất động sản,Dịch vụ,Tho,Duong,Trung_Binh,Thap,Trung_Binh,Ngan_Han,Cao,Trung_Binh,Chuyen_Gia,Tu_Do,Hoa_Hong,Tho,Hoa,Moc,Thuong_Quan,Recovery,Khong,Phân phối bất động sản,Thu nhập hoa hồng,active
NN008,Định giá bất động sản,BDS,Bất động sản,Dịch vụ,Tho,Am,Thap,Thap,Cao,Trung_Han,Trung_Binh,Cao,Chuyen_Gia,Lam_Cong,Luong,Tho,Kim,Moc,Chinh_Quan,Stable,Khong,Định giá tài sản,Yêu cầu chứng chỉ,active
NN009,Quản lý bất động sản,BDS,Bất động sản,Dịch vụ,Tho,Am,Thap,Thap,Trung_Binh,Dai_Han,Trung_Binh,Cao,Quan_Ly,Lam_Cong,Luong,Tho,Kim,Moc,Chinh_Quan,Stable,Bat_Dong_San,Quản lý tòa nhà,Dòng tiền ổn định,active
NN010,Xây dựng công trình,BDS,Bất động sản,Xây dựng,Tho,Duong,Cao,Cao,Cao,Dai_Han,Cao,Cao,Chu_Doanh_Nghiep,Kinh_Doanh,Loi_Nhuan,Tho,Hoa,Moc,Thien_Tai,Expansion,Bat_Dong_San,Xây dựng dân dụng công nghiệp,Gắn với bất động sản,active
