condition_id,field,operator,value,description
cond_001,strength_level,==,weak,Than nhược
cond_002,strength_level,==,strong,Than vượng
cond_003,season,==,winter,Mùa đông
cond_004,season,==,summer,Mùa hạ
cond_005,temperature_type,==,cold,Khí hàn
cond_006,temperature_type,==,hot,Khí nhiệt
cond_007,resource_elements,contains,Chính Ấn,Có Ấn thần
cond_008,officer_elements,contains,Chính Quan,Có Quan thần
cond_009,follow_pattern,==,tong_tai,Tòng Tài
cond_010,special_pattern,in,"[""khuc_truc"", ""viem_thuong"", ""nhuan_ha"", ""gia_sac""]",Chuyên cách thường dùng
