rule_id,pattern,priority,conditions,score,description,enabled,source
pat_fallback,chinh_quan,1,[],10,Chính Quan cách (fallback — không xác định được Lệnh Tháng),true,01_main_pattern.csv
pat_cq_01,chinh_quan,80,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Chính Quan""}]",80,Chính Quan cách — Lệnh tháng là Chính Quan,true,01_main_pattern.csv
pat_ts_01,that_sat,80,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Thất Sát""}]",78,Thất Sát cách — Lệnh tháng là Thất Sát,true,01_main_pattern.csv
pat_ct_01,chinh_tai,75,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Chính Tài""}]",75,Chính Tài cách — Lệnh tháng là Chính Tài,true,01_main_pattern.csv
pat_tt_01,thien_tai,75,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Thiên Tài""}]",73,Thiên Tài cách — Lệnh tháng là Thiên Tài,true,01_main_pattern.csv
pat_tht_01,thuc_than,70,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Thực Thần""}]",70,Thực Thần cách — Lệnh tháng là Thực Thần,true,01_main_pattern.csv
pat_thuq_01,thuong_quan,70,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Thương Quan""}]",68,Thương Quan cách — Lệnh tháng là Thương Quan,true,01_main_pattern.csv
pat_ca_01,chinh_an,72,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Chính Ấn""}]",72,Chính Ấn cách — Lệnh tháng là Chính Ấn,true,01_main_pattern.csv
pat_ta_01,thien_an,72,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Thiên Ấn""}]",70,Thiên Ấn cách — Lệnh tháng là Thiên Ấn,true,01_main_pattern.csv
pat_tyk_01,ty_kien,60,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Tỷ Kiên""}]",55,Kiến Lộc cách — Lệnh tháng là Tỷ Kiên (Kiến Lộc),true,01_main_pattern.csv
pat_ktai_01,kiep_tai,60,"[{""field"": ""month_branch_ten_god"", ""operator"": ""=="", ""value"": ""Kiếp Tài""}]",53,Dương Nhẫn cách — Lệnh tháng là Kiếp Tài (Dương Nhẫn),true,01_main_pattern.csv
