condition_id,field,operator,value,description,category
cond_month_cq,month_branch_ten_god,==,Chính Quan,Lệnh tháng là Chính Quan,main
cond_month_ts,month_branch_ten_god,==,Thất Sát,Lệnh tháng là Thất Sát,main
cond_month_ct,month_branch_ten_god,==,Chính Tài,Lệnh tháng là Chính Tài,main
cond_month_tt,month_branch_ten_god,==,Thiên Tài,Lệnh tháng là Thiên Tài,main
cond_month_tht,month_branch_ten_god,==,Thực Thần,Lệnh tháng là Thực Thần,main
cond_month_thuq,month_branch_ten_god,==,Thương Quan,Lệnh tháng là Thương Quan,main
cond_month_ca,month_branch_ten_god,==,Chính Ấn,Lệnh tháng là Chính Ấn,main
cond_month_ta,month_branch_ten_god,==,Thiên Ấn,Lệnh tháng là Thiên Ấn,main
cond_month_tyk,month_branch_ten_god,==,Tỷ Kiên,Lệnh tháng là Tỷ Kiên (Kiến Lộc),main
cond_month_ktai,month_branch_ten_god,==,Kiếp Tài,Lệnh tháng là Kiếp Tài (Dương Nhẫn),main
cond_spring,season,==,spring,Sinh trong mùa Xuân (Dần Mão Thìn),special
cond_summer,season,==,summer,Sinh trong mùa Hạ (Tỵ Ngọ Mùi),special
cond_autumn,season,==,autumn,Sinh trong mùa Thu (Thân Dậu Tuất),special
cond_winter,season,==,winter,Sinh trong mùa Đông (Hợi Tý Sửu),special
cond_has_cq,ten_gods_list,contains,Chính Quan,Có Chính Quan trong chart,combination
cond_has_ts,ten_gods_list,contains,Thất Sát,Có Thất Sát trong chart,combination
cond_has_ct,ten_gods_list,contains,Chính Tài,Có Chính Tài trong chart,combination
cond_has_ca,ten_gods_list,contains,Chính Ấn,Có Chính Ấn trong chart,combination
cond_has_tht,ten_gods_list,contains,Thực Thần,Có Thực Thần trong chart,combination
cond_has_thuq,ten_gods_list,contains,Thương Quan,Có Thương Quan trong chart,combination
cond_no_cq,ten_gods_list,not_contains,Chính Quan,Không có Chính Quan,special
cond_no_ts,ten_gods_list,not_contains,Thất Sát,Không có Thất Sát,special
cond_no_ct,ten_gods_list,not_contains,Chính Tài,Không có Chính Tài,special
cond_no_tt,ten_gods_list,not_contains,Thiên Tài,Không có Thiên Tài,special
