example_id,pattern,day_master,month_branch,month_branch_ten_god,description,birth_year
ex_cq_01,chinh_quan,Giáp,Dậu,Chính Quan,Giáp Mộc sinh tháng Dậu (Tân = Chính Quan),1984
ex_cq_02,chinh_quan,Ất,Thân,Chính Quan,Ất Mộc sinh tháng Thân (Canh = Chính Quan),1985
ex_cq_03,chinh_quan,Bính,Tý,Chính Quan,Bính Hỏa sinh tháng Tý (Quý = Chính Quan),1983
ex_cq_04,chinh_quan,Đinh,Hợi,Chính Quan,Đinh Hỏa sinh tháng Hợi (Nhâm = Chính Quan),1982
ex_cq_05,chinh_quan,Mậu,Mão,Chính Quan,Mậu Thổ sinh tháng Mão (Ất = Chính Quan),1988
ex_ts_01,that_sat,Giáp,Thân,Thất Sát,Giáp Mộc sinh tháng Thân (Canh = Thất Sát),1980
ex_ts_02,that_sat,Ất,Dậu,Thất Sát,Ất Mộc sinh tháng Dậu (Tân = Thất Sát),1981
ex_ts_03,that_sat,Bính,Hợi,Thất Sát,Bính Hỏa sinh tháng Hợi (Nhâm = Thất Sát),1983
ex_ct_01,chinh_tai,Giáp,Sửu,Chính Tài,Giáp Mộc sinh tháng Sửu (Kỷ = Chính Tài),1978
ex_ct_02,chinh_tai,Giáp,Mùi,Chính Tài,Giáp Mộc sinh tháng Mùi (Kỷ = Chính Tài),1979
ex_ca_01,chinh_an,Giáp,Tý,Chính Ấn,Giáp Mộc sinh tháng Tý (Quý = Chính Ấn),1972
ex_ta_01,thien_an,Giáp,Hợi,Thiên Ấn,Giáp Mộc sinh tháng Hợi (Nhâm = Thiên Ấn),1971
ex_tht_01,thuc_than,Giáp,Tỵ,Thực Thần,Giáp Mộc sinh tháng Tỵ (Bính = Thực Thần),1986
ex_thuq_01,thuong_quan,Giáp,Ngọ,Thương Quan,Giáp Mộc sinh tháng Ngọ (Đinh = Thương Quan),1987
ex_tyk_01,ty_kien,Giáp,Dần,Tỷ Kiên,Giáp Mộc sinh tháng Dần (Giáp = Tỷ Kiên) — Kiến Lộc,1990
ex_ktai_01,kiep_tai,Giáp,Mão,Kiếp Tài,Giáp Mộc sinh tháng Mão (Ất = Kiếp Tài) — Dương Nhẫn,1975
