id,rule_code,rule_name,score,group,max_apply,description
SS001,HEAVENLY_NOBLE,Thiên Ất Quý Nhân,10,POSITIVE,2,Có quý nhân
SS002,SCHOLAR,Văn Xương,8,POSITIVE,2,Học hành
SS003,ACADEMIC_STAR,Hoa Cái,5,POSITIVE,2,Nghệ thuật
SS004,RED_LOVE,Hồng Loan,6,POSITIVE,1,Tình duyên
SS005,HAPPY_EVENT,Thiên Hỷ,6,POSITIVE,1,Hỷ sự
SS006,LONELY_STAR,Cô Thần,-6,NEGATIVE,2,Cô độc
SS007,WIDOW_STAR,Quả Tú,-6,NEGATIVE,2,Ít hòa hợp
SS008,ROBBERY,Kiếp Sát,-10,NEGATIVE,2,Hao tổn
SS009,DISASTER,Tai Sát,-12,NEGATIVE,2,Rủi ro
SS010,VOID,Không Vong,-8,NEGATIVE,2,Làm giảm hiệu lực
