id,rule_code,rule_name,score,group,max_apply,description
TG001,DIRECT_OFFICER,Chính Quan cát,12,POSITIVE,2,Quan tinh ổn định
TG002,SEVEN_KILLING,Thất Sát hữu chế,10,POSITIVE,2,Sát có chế hóa
TG003,INDIRECT_RESOURCE,Thiên Ấn tốt,8,POSITIVE,2,Ấn hỗ trợ học vấn
TG004,DIRECT_RESOURCE,Chính Ấn tốt,10,POSITIVE,2,Ấn sinh thân
TG005,EATING_GOD,Thực Thần tốt,10,POSITIVE,2,Sinh tài
TG006,HURTING_OFFICER,Thương Quan hợp cách,8,POSITIVE,2,Có lợi khi hợp cách
TG007,DIRECT_WEALTH,Chính Tài mạnh,12,POSITIVE,2,Tài ổn định
TG008,INDIRECT_WEALTH,Thiên Tài mạnh,10,POSITIVE,2,Tài linh hoạt
TG009,FRIEND,Tỷ Kiên quá nhiều,-8,NEGATIVE,5,Tranh tài
TG010,ROBBING_WEALTH,Kiếp Tài quá nhiều,-12,NEGATIVE,5,Hao tài
