id,hoa_giap,trong_luong_chi,nguon
1,Giáp Tý,12,yuan_tian_gang
2,Ất Sửu,9,yuan_tian_gang
3,Bính Dần,6,yuan_tian_gang
4,Đinh Mão,7,yuan_tian_gang
5,Mậu Thìn,12,yuan_tian_gang
6,Kỷ Tỵ,5,yuan_tian_gang
7,Canh Ngọ,9,yuan_tian_gang
8,Tân Mùi,8,yuan_tian_gang
9,Nhâm Thân,7,yuan_tian_gang
10,Quý Dậu,8,yuan_tian_gang
11,Giáp Tuất,15,yuan_tian_gang
12,Ất Hợi,9,yuan_tian_gang
13,Bính Tý,16,yuan_tian_gang
14,Đinh Sửu,8,yuan_tian_gang
15,Mậu Dần,8,yuan_tian_gang
16,Kỷ Mão,19,yuan_tian_gang
17,Canh Thìn,12,yuan_tian_gang
18,Tân Tỵ,6,yuan_tian_gang
19,Nhâm Ngọ,8,yuan_tian_gang
20,Quý Mùi,7,yuan_tian_gang
21,Giáp Thân,5,yuan_tian_gang
22,Ất Dậu,15,yuan_tian_gang
23,Bính Tuất,6,yuan_tian_gang
24,Đinh Hợi,16,yuan_tian_gang
25,Mậu Tý,15,yuan_tian_gang
26,Kỷ Sửu,7,yuan_tian_gang
27,Canh Dần,9,yuan_tian_gang
28,Tân Mão,12,yuan_tian_gang
29,Nhâm Thìn,10,yuan_tian_gang
30,Quý Tỵ,7,yuan_tian_gang
31,Giáp Ngọ,15,yuan_tian_gang
32,Ất Mùi,6,yuan_tian_gang
33,Bính Thân,5,yuan_tian_gang
34,Đinh Dậu,14,yuan_tian_gang
35,Mậu Tuất,14,yuan_tian_gang
36,Kỷ Hợi,9,yuan_tian_gang
37,Canh Tý,7,yuan_tian_gang
38,Tân Sửu,7,yuan_tian_gang
39,Nhâm Dần,9,yuan_tian_gang
40,Quý Mão,12,yuan_tian_gang
41,Giáp Thìn,8,yuan_tian_gang
42,Ất Tỵ,7,yuan_tian_gang
43,Bính Ngọ,13,yuan_tian_gang
44,Đinh Mùi,5,yuan_tian_gang
45,Mậu Thân,14,yuan_tian_gang
46,Kỷ Dậu,5,yuan_tian_gang
47,Canh Tuất,9,yuan_tian_gang
48,Tân Hợi,17,yuan_tian_gang
49,Nhâm Tý,5,yuan_tian_gang
50,Quý Sửu,7,yuan_tian_gang
51,Giáp Dần,12,yuan_tian_gang
52,Ất Mão,8,yuan_tian_gang
53,Bính Thìn,8,yuan_tian_gang
54,Đinh Tỵ,6,yuan_tian_gang
55,Mậu Ngọ,19,yuan_tian_gang
56,Kỷ Mùi,6,yuan_tian_gang
57,Canh Thân,8,yuan_tian_gang
58,Tân Dậu,16,yuan_tian_gang
59,Nhâm Tuất,10,yuan_tian_gang
60,Quý Hợi,6,yuan_tian_gang
