id,ngay_am,trong_luong_chi,nguon
1,1,5,yuan_tian_gang
2,2,10,yuan_tian_gang
3,3,8,yuan_tian_gang
4,4,15,yuan_tian_gang
5,5,16,yuan_tian_gang
6,6,15,yuan_tian_gang
7,7,8,yuan_tian_gang
8,8,16,yuan_tian_gang
9,9,8,yuan_tian_gang
10,10,16,yuan_tian_gang
11,11,9,yuan_tian_gang
12,12,17,yuan_tian_gang
13,13,8,yuan_tian_gang
14,14,17,yuan_tian_gang
15,15,10,yuan_tian_gang
16,16,8,yuan_tian_gang
17,17,9,yuan_tian_gang
18,18,18,yuan_tian_gang
19,19,5,yuan_tian_gang
20,20,15,yuan_tian_gang
21,21,10,yuan_tian_gang
22,22,9,yuan_tian_gang
23,23,8,yuan_tian_gang
24,24,9,yuan_tian_gang
25,25,15,yuan_tian_gang
26,26,18,yuan_tian_gang
27,27,7,yuan_tian_gang
28,28,8,yuan_tian_gang
29,29,16,yuan_tian_gang
30,30,6,yuan_tian_gang
