category_id,category_name,description,order

CAT001,basic,Tổng quan mệnh cục,1

CAT002,day_master,Phân tích Nhật Chủ,2

CAT003,five_elements,Cân bằng Ngũ Hành,3

CAT004,ten_gods,Phân tích Thập Thần,4

CAT005,useful_god,Dụng Thần Hỷ Kỵ,5

CAT006,combination,Hợp Xung Hình Hại,6

CAT007,shensha,Thần Sát,7

CAT008,career,Sự Nghiệp,8

CAT009,wealth,Tài Vận,9

CAT010,marriage,Hôn Nhân,10

CAT011,children,Tử Tức,11

CAT012,health,Sức Khỏe,12

CAT013,luck,Đại Vận Lưu Niên,13

CAT014,fengshui,Phong Thủy Ứng Dụng,14
