field_id,field_name,data_type,nullable,primary_key,display_order,status,description
OUT001,id,string,false,true,1,ACTIVE,Mã bản ghi
OUT002,ngay_duong,date,false,false,2,ACTIVE,Ngày dương lịch
OUT003,thang_duong,integer,false,false,3,ACTIVE,Tháng dương
OUT004,nam_duong,integer,false,false,4,ACTIVE,Năm dương
OUT005,ngay_am,integer,false,false,5,ACTIVE,Ngày âm
OUT006,thang_am,integer,false,false,6,ACTIVE,Tháng âm
OUT007,nam_am,integer,false,false,7,ACTIVE,Năm âm
OUT008,thang_nhuan,boolean,false,false,8,ACTIVE,Cờ tháng nhuận
OUT009,can_nam,string,false,false,9,ACTIVE,Thiên Can năm
OUT010,chi_nam,string,false,false,10,ACTIVE,Địa Chi năm
OUT011,can_thang,string,false,false,11,ACTIVE,Thiên Can tháng
OUT012,chi_thang,string,false,false,12,ACTIVE,Địa Chi tháng
OUT013,can_ngay,string,false,false,13,ACTIVE,Thiên Can ngày
OUT014,chi_ngay,string,false,false,14,ACTIVE,Địa Chi ngày
OUT015,can_gio,string,false,false,15,ACTIVE,Thiên Can giờ
OUT016,chi_gio,string,false,false,16,ACTIVE,Địa Chi giờ
OUT017,tiet_khi,string,true,false,17,ACTIVE,Tiết Khí
OUT018,nguyet_lenh,string,true,false,18,ACTIVE,Nguyệt Lệnh
OUT019,nap_am,string,true,false,19,ACTIVE,Nạp Âm
OUT020,truc_ngay,string,true,false,20,ACTIVE,Trực ngày
OUT021,hoang_dao,string,true,false,21,ACTIVE,Hoàng Đạo
OUT022,julian_day,integer,false,false,22,ACTIVE,Julian Day Number
OUT023,timezone,string,false,false,23,ACTIVE,Múi giờ xử lý
OUT024,engine_version,string,false,false,24,ACTIVE,Phiên bản Engine
OUT025,created_at,datetime,false,false,25,ACTIVE,Thời điểm sinh dữ liệu
