id,ma,can,chi,hoa_giap,nap_am,ngu_hanh,am_duong,ghi_chu
1,NA001,Giáp,Tý,Giáp Tý,Hải Trung Kim,Kim,Dương,Cặp 01
2,NA002,Ất,Sửu,Ất Sửu,Hải Trung Kim,Kim,Âm,Cặp 02
3,NA003,Bính,Dần,Bính Dần,Lư Trung Hỏa,Hỏa,Dương,Cặp 03
4,NA004,Đinh,Mão,Đinh Mão,Lư Trung Hỏa,Hỏa,Âm,Cặp 04
5,NA005,Mậu,Thìn,Mậu Thìn,Đại Lâm Mộc,Mộc,Dương,Cặp 05
6,NA006,Kỷ,Tỵ,Kỷ Tỵ,Đại Lâm Mộc,Mộc,Âm,Cặp 06
7,NA007,Canh,Ngọ,Canh Ngọ,Lộ Bàng Thổ,Thổ,Dương,Cặp 07
8,NA008,Tân,Mùi,Tân Mùi,Lộ Bàng Thổ,Thổ,Âm,Cặp 08
9,NA009,Nhâm,Thân,Nhâm Thân,Kiếm Phong Kim,Kim,Dương,Cặp 09
10,NA010,Quý,Dậu,Quý Dậu,Kiếm Phong Kim,Kim,Âm,Cặp 10
11,NA011,Giáp,Tuất,Giáp Tuất,Sơn Đầu Hỏa,Hỏa,Dương,Cặp 11
12,NA012,Ất,Hợi,Ất Hợi,Sơn Đầu Hỏa,Hỏa,Âm,Cặp 12
13,NA013,Bính,Tý,Bính Tý,Giản Hạ Thủy,Thủy,Dương,Cặp 13
14,NA014,Đinh,Sửu,Đinh Sửu,Giản Hạ Thủy,Thủy,Âm,Cặp 14
15,NA015,Mậu,Dần,Mậu Dần,Thành Đầu Thổ,Thổ,Dương,Cặp 15
16,NA016,Kỷ,Mão,Kỷ Mão,Thành Đầu Thổ,Thổ,Âm,Cặp 16
17,NA017,Canh,Thìn,Canh Thìn,Bạch Lạp Kim,Kim,Dương,Cặp 17
18,NA018,Tân,Tỵ,Tân Tỵ,Bạch Lạp Kim,Kim,Âm,Cặp 18
19,NA019,Nhâm,Ngọ,Nhâm Ngọ,Dương Liễu Mộc,Mộc,Dương,Cặp 19
20,NA020,Quý,Mùi,Quý Mùi,Dương Liễu Mộc,Mộc,Âm,Cặp 20
21,NA021,Giáp,Thân,Giáp Thân,Tuyền Trung Thủy,Thủy,Dương,Cặp 21
22,NA022,Ất,Dậu,Ất Dậu,Tuyền Trung Thủy,Thủy,Âm,Cặp 22
23,NA023,Bính,Tuất,Bính Tuất,Ốc Thượng Thổ,Thổ,Dương,Cặp 23
